"TH=0.83" "TH=0.87" "TH=0.91" "TH=0.97"
"st1" 1 1 1 35
"st2" 1 2 2 1
"st3" 1 2 3 2
"st4" 2 3 4 36
"st5" 1 4 5 37
"st6" 3 5 28 38
"st7" 1 4 5 39
"st8" 2 3 4 40
"st9" 2 3 4 41
"st10" 2 3 4 42
"st11" 1 6 6 43
"st12" 1 2 3 2
"st13" 1 2 3 2
"st14" 1 2 3 2
"st15" 1 2 7 44
"st16" 2 7 29 45
"st17" 2 3 4 46
"st18" 1 1 30 47
"st19" 1 1 1 3
"st20" 1 8 8 4
"st21" 1 8 8 5
"st22" 2 3 4 6
"st23" 1 2 2 1
"st24" 3 9 9 48
"st25" 3 9 10 7
"st26" 1 8 8 49
"st27" 1 8 8 8
"st28" 1 2 3 2
"st29" 1 2 2 50
"st30" 1 2 7 51
"st31" 3 10 11 52
"st32" 3 9 9 53
"st33" 1 19 31 54
"st34" 1 2 3 9
"st35" 4 20 32 55
"st36" 1 2 3 10
"st37" 1 2 3 10
"st38" 3 9 12 56
"st39" 1 6 6 11
"st40" 1 8 8 8
"st41" 1 8 13 57
"st42" 3 10 33 58
"st43" 1 8 8 12
"st44" 1 8 8 4
"st45" 2 3 4 59
"st46" 1 8 8 13
"st47" 5 21 34 60
"st48" 1 8 8 12
"st49" 1 8 8 4
"st50" 1 8 8 8
"st51" 3 22 35 61
"st52" 3 9 10 7
"st53" 3 11 14 14
"st54" 1 8 13 62
"st55" 1 12 36 63
"st56" 6 23 37 64
"st57" 1 2 3 10
"st58" 1 8 8 13
"st59" 1 2 3 9
"st60" 1 2 7 65
"st61" 1 13 15 15
"st62" 1 13 15 15
"st63" 1 13 15 15
"st64" 1 1 1 66
"st65" 1 2 16 16
"st66" 1 2 7 67
"st67" 1 2 2 17
"st68" 1 2 3 9
"st69" 1 14 38 68
"st70" 1 15 17 18
"st71" 1 15 17 18
"st72" 1 2 2 1
"st73" 1 2 2 19
"st74" 3 5 39 69
"st75" 1 2 2 19
"st76" 1 2 40 70
"st77" 1 2 7 71
"st78" 1 8 8 72
"st79" 1 2 2 73
"st80" 1 13 15 15
"st81" 1 16 41 74
"st82" 1 15 42 75
"st83" 1 2 43 76
"st84" 1 2 2 17
"st85" 1 16 44 77
"st86" 1 2 2 78
"st87" 1 15 18 79
"st88" 1 2 7 80
"st89" 1 14 19 81
"st90" 1 13 15 15
"st91" 1 2 3 9
"st92" 3 10 45 82
"st93" 3 10 11 83
"st94" 1 8 20 20
"st95" 1 14 19 21
"st96" 1 14 19 21
"st97" 1 15 17 84
"st98" 1 1 1 3
"st99" 1 17 21 22
"st100" 1 15 17 23
"st101" 1 14 19 21
"st102" 1 15 22 24
"st103" 1 15 22 24
"st104" 1 8 8 85
"st105" 1 15 17 25
"st106" 1 2 3 2
"st107" 1 17 21 22
"st108" 1 8 13 86
"st109" 1 15 17 23
"st110" 1 17 21 22
"st111" 1 14 19 21
"st112" 1 1 1 3
"st113" 1 1 1 26
"st114" 1 14 19 21
"st115" 1 15 17 23
"st116" 1 15 17 23
"st117" 1 1 1 26
"st118" 1 1 1 87
"st119" 1 15 17 23
"st120" 1 14 19 27
"st121" 3 9 23 28
"st122" 3 9 23 28
"st123" 2 3 4 6
"st124" 3 9 12 88
"st125" 1 14 46 89
"st126" 1 16 47 90
"st127" 2 3 4 6
"st128" 2 3 4 91
"st129" 1 1 1 3
"st130" 1 13 15 29
"st131" 2 3 4 92
"st132" 1 15 18 93
"st133" 1 6 6 94
"st134" 1 6 6 11
"st135" 1 24 48 95
"st136" 2 7 49 96
"st137" 1 25 50 97
"st138" 1 16 51 98
"st139" 1 2 16 16
"st140" 1 1 52 99
"st141" 1 2 2 100
"st142" 1 26 53 101
"st143" 1 16 54 102
"st144" 1 2 3 103
"st145" 2 3 4 104
"st146" 1 18 24 30
"st147" 1 27 55 105
"st148" 2 3 4 106
"st149" 1 8 8 13
"st150" 1 2 3 9
"st151" 2 3 56 107
"st152" 1 8 8 12
"st153" 1 8 8 4
"st154" 1 8 8 108
"st155" 1 8 20 20
"st156" 1 8 57 109
"st157" 3 11 14 14
"st158" 1 18 24 110
"st159" 1 4 58 111
"st160" 1 12 59 112
"st161" 1 2 3 9
"st162" 1 8 8 4
"st163" 1 8 8 12
"st164" 2 3 4 31
"st165" 2 3 4 31
"st166" 2 3 4 31
"st167" 2 7 60 113
"st168" 1 8 8 114
"st169" 1 2 3 32
"st170" 1 8 8 4
"st171" 1 8 8 8
"st172" 2 3 4 115
"st173" 2 3 4 116
"st174" 1 8 8 4
"st175" 1 8 8 4
