"Genomes" "Leducq2021" "Alessa2021" "Species" "NamePhylo" "NameStrains" "AvPS" "SdPS" "MinPS" "MaxPS" "-" "Air" "Anthropo" "Endophyte" "Food" "Fungus" "Lake" "Lichen" "Microbiome" "Ocean" "Phyllosphere" "Plant" "Rhizhosphere" "Sediments" "Seed" "Skin" "Soil" "Space" "Unknown" "Water"
"1" "" "" "Micr_vignae" "st31" "BR3299" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"2" "" "" "Micr_tunisiensis_Micr_sp" "st121_st122" "Lmie10;M8" "0.999991605432964" NA "0.999991605432964" "0.999991605432964" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_subterranea" "st51" "DSM14364" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_sp" "st6" "17mud1-3" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_sp" "st32" "BSC39" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_sp" "st35" "c23x22" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_sp" "st38" "CCBAU65841" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_sp" "st74" "HR1" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_sp" "st93" "KLBC81" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_sp" "st124" "Marseille-Q2068" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"2" "" "" "Micr_sp" "st183_st184" "SYSUG3D203;SYSUG3D207" "0.999997228680935" NA "0.999997228680935" "0.999997228680935" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_ossetica" "st192" "V5/3m" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_makkahensis" "st92" "KCTC23863" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_lupini" "st24" "AT3.9" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_lotononidis" "st205" "WSM3557" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Micr_guangxiensis" "st42" "CGMCC1.7666" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"2" "" "" "Micr_flocculans" "st25_st52" "ATCCBAA-817;DSM15743" "0.999997201834477" NA "0.999997201834477" "0.999997201834477" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"2" "" "" "Micr_aerophila" "st53_st157" "DSM21344;NBRC106136" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Ente_sp" "st47" "DB1703" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "" "Ente_rhinocerotis" "st56" "DSM25903" "1" NA "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "a" "Meth_trifolii" "st147" "DSM23632" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "a" "Meth_jeotgali" "st137" "LMG23639T" "1" NA "1" "1" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "a1" "Meth_marchantiae" "st140" "DSM21328T" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "a1" "Meth_iners" "st135" "DSM19015T" "1" NA "1" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "a1" "Meth_goesingense" "st132" "DSM21331T" "1" NA "1" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "a1" "Meth_adhaesivum" "st125" "DSM17169T" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
"1" "" "a3" "Meth_persicinum" "st143" "NBRC103628T" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
"1" "" "a3" "Meth_komagatae" "st138" "NBRC103627T" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
"1" "" "a3" "Meth_aerolatum" "st126" "DSM19013T" "1" NA "1" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "" "a4" "Meth_tardum" "st144" "NBRC103632T" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
"1" "" "a4" "Meth_mesophilicum" "st141" "NBRC15688T" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
