"Order.ASTRAL" "Species" "Strains" "Group" "Order.SVDq" "Air" "Human" "Endoph." "Fung./Lich." "Ocean" "Phyllo." "Plant" "Rhizho." "Sed./Water" "Seed" "Soil" "Unknown"
1 "Meth_gnaphalii" "st160" "B" 1 0 0 0 0 0 1 0 0 0 0 0 0
2 "Meth_brachythecii" "st55" "B" 2 0 0 0 0 0 1 0 0 0 0 0 0
3 "Meth_thuringiense" "st146_st203" "B" 3 0 0 0 0 0 1 0 0 0 0 0 0
4 "Meth_haplocladii" "st158" "B" 4 0 0 0 0 0 1 0 0 0 0 0 0
5 "Meth_organophilum" "st142" "B" 5 0 0 0 0 0 0 0 0 1 0 0 0
6 "Meth_suomiense" "st94_st155" "B" 6 0 0 0 0 0 0 0 0 0.5 0 0.5 0
7 "Meth_salsuginis" "st41" "B" 8 0 0 0 0 1 0 0 0 0 0 0 0
8 "Meth_sp_038" "st108" "B" 7 0 0 0 0 0 1 0 0 0 0 0 0
9 "Meth_rhodinum" "st54" "B" 9 0 0 0 0 0 0 0 0 0 0 1 0
10 "Meth_zatmanii" "st156" "B" 10 0 1 0 0 0 0 0 0 0 0 0 0
11 "Meth_sp_035" "st26" "B" 11 0 0.5 0 0 0 0 0 0 0.5 0 0 0
12 "Meth_sp_036" "st78" "B" 13 0 0 0 0 0 1 0 0 0 0 0 0
13 "Meth_sp_037" "st104" "B" 14 0 0 0 0 0 1 0 0 0 0 0 0
14 "Meth_extorquens" "st20_st44_st49_st153_st162_st170_st174_st175_st178" "B" 15 0 0.333333333333333 0 0 0 0.222222222222222 0 0 0.277777777777778 0 0.166666666666667 0
15 "Meth_sp_040" "st21_st176" "B" 16 0 0 0.5 0 0 0.5 0 0 0 0 0 0
16 "Meth_thiocyanatum" "st27_st40_st50_st171_st207" "B" 18 0 0.3 0.2 0 0 0 0 0.2 0 0 0.1 0.2
17 "Meth_podarium" "st154" "B" 17 0 1 0 0 0 0 0 0 0 0 0 0
18 "Meth_rhodesianum" "st46_st58_st149" "B" 19 0 1 0 0 0 0 0 0 0 0 0 0
19 "Meth_sp_041" "st168" "B" 20 0 0.5 0 0 0 0 0 0 0.5 0 0 0
20 "Meth_aminovorans" "st43_st48_st152_st163" "B" 21 0 0.25 0 0 0 0 0 0 0 0 0.75 0
21 "Meth_sp_039" "st177" "B" 12 0 0 0 0 0 0 0 0 0 0 0 1
22 "Meth_jeotgali" "st137" "A" 22 0 1 0 0 0 0 0 0 0 0 0 0
23 "Meth_planium" "st208" "A" 23 0 0 0 1 0 0 0 0 0 0 0 0
24 "Meth_soli" "st209" "A" 24 0 0 0 0 0 0 0 0 0 0 1 0
25 "Meth_oxalidis" "st159" "A" 25 0 0 0 0 0 1 0 0 0 0 0 0
26 "Meth_durans" "st7" "A" 26 0 0.5 0 0 0 0 0 0 0 0 0.5 0
27 "Meth_segetis" "st5" "A" 27 0 0 0 0 0 0 0 0 0 0 1 0
28 "Meth_trifolii" "st147" "A" 28 0 0 0 0 0 1 0 0 0 0 0 0
29 "Meth_cerastii" "st130_st194_st195_st202" "A" 29 0 0 0 0 0 1 0 0 0 0 0 0
30 "Meth_sp_018" "st61_st62_st63_st80_st90_st193_st198_st199_st204" "A" 30 0 0 0 0 0 1 0 0 0 0 0 0
31 "Meth_dankookense" "st182" "A" 31 0 0.5 0 0 0 0 0 0 0.5 0 0 0
32 "Meth_symbioticum" "st180" "A" 32 0 0 0 1 0 0 0 0 0 0 0 0
