IQ-tree	Phylogenies	Strain	Clade-Leducq2021	Clade-Alessa2021	Species	Environment	Alias		
0	st1	10	A2	-	Meth_sp	Water	-		
1	st2	111MFTsu3.1M4	A9	-	Meth_brachiatum	Plant	-		
2	st3	13MFTsu3.1M2	A9	-	Meth_sp	Plant	-		
3	st4	174MFSha1.1	C	-	Meth_sp	Plant	-		
4	st5	17J42-1	A5	a2	Meth_segetis	Soil	KCTC62267T		
5	st6	17mud1-3	-	-	Micr_sp	-	-		
6	st7	17SD2-17	A5	a2	Meth_durans	Anthropo/Soil	KCTC52908T		
7	st8	17Sr1-1	C	-	Meth_sp	Soil	-		
8	st9	17Sr1-28	C	c1	Meth_terrae	Anthropo/Soil	KCTC52904T		
9	st10	17Sr1-39	C	c1	Meth_terricola	Soil	NBRC112874T		
10	st11	17Sr1-43	A7	-	Meth_radiodurans	Anthropo/Soil	-		
11	st12	190mf	A9	-	Meth_sp	Plant	-		
12	st13	275MFSha3.1	A9	-	Meth_sp	Plant	-		
13	st14	285MFTsu5.1	A9	-	Meth_sp	Plant	-		
14	st15	2A	A9	-	Meth_sp	Rhizhosphere	-		
15	st16	4-46	C	-	Meth_sp	Rhizhosphere	-		
16	st17	6HR-1	C	c1	Meth_nonmethylotrophicum	Anthropo/Soil	KCTC42760T		
17	st18	77	A2	-	Meth_sp	Water	-		
18	st19	88A	A2	-	Meth_sp	Water	-		
19	st20	AM1	B	b	Meth_extorquens	Anthropo	ATCC14718		
20	st21	AMS5	B	-	Meth_sp	Phyllosphere	-		
21	st22	ap11	C	-	Meth_sp	Rhizhosphere	-		
22	st23	ARG-1	A9	-	Meth_sp	Fungus	-		
23	st24	AT3.9	-	-	Micr_lupini	-	-		
24	st25	ATCCBAA-817	-	-	Micr_flocculans	-	-		
25	st26	B4	B	-	Meth_sp	Anthropo/Water	-		
26	st27	BJ001	B	-	Meth_populi	Endophyte	-		
27	st28	BK227	A9	-	Meth_sp	Endophyte	-		
28	st29	BL36	A9	a4	Meth_pseudosasicola	Phyllosphere	NBRC105203T		
29	st30	BL47	A9	-	Meth_phyllostachyos	Phyllosphere	-		
30	st31	BR3299	-	-	Micr_vignae	-	-		
31	st32	BSC39	-	-	Micr_sp	-	-		
32	st33	BTF04	A1	-	Meth_sp	Water	-		
33	st34	C1	A9	-	Meth_sp	Anthropo/Water	-		
34	st35	c23x22	-	-	Micr_sp	-	-		
35	st36	CBMB20	A9	a4	Meth_oryzae	Phyllosphere	DSM18207T		
36	st37	CBMB27	A9	a4	Meth_phyllosphaerae	Phyllosphere	DSM19779T		
37	st38	CCBAU65841	-	-	Micr_sp	-	-		
38	st39	CCH5-D2	A7	-	Meth_sp	Anthropo/Water	-		
39	st40	CD11_7	B	-	Meth_populi	Anthropo/Microbiome	-		
40	st41	CGMCC1.6474	B	b	Meth_salsuginis	Ocean	NCCB100140T		
41	st42	CGMCC1.7666	-	-	Micr_guangxiensis	-	-		
42	st43	CLZ	B	-	Meth_sp	Soil	-		
43	st44	CM4	B	b	Meth_chloromethanicum	Anthropo/Soil	NCIMB13688		
44	st45	DB0501	C	-	Meth_sp	Anthropo	-		
45	st46	DB1607	B	-	Meth_sp	Anthropo	-		
46	st47	DB1703	-	-	Ente_sp	-	-		
47	st48	DM1	B	-	Meth_sp	Anthropo	-		
48	st49	DM4	B	b	Meth_dichloromethanicum	Anthropo/Water	DSM6343		
49	st50	DSM11490	B	b	Meth_thiocyanatum	Rhizhosphere	JCM10893T		
50	st51	DSM14364	-	-	Micr_subterranea	-	-		
51	st52	DSM15743	-	-	Micr_flocculans	-	-		
52	st53	DSM21344	-	-	Micr_aerophila	-	-		
53	st54	DSM2163	B	b	Meth_rhodinum	Soil	-		
54	st55	DSM24105	A4	b2	Meth_brachythecii	Phyllosphere	-		
55	st56	DSM25903	-	-	Ente_rhinocerotis	-	-		
56	st57	DSM5686	A9	a4	Meth_fujisawaense	Unknown	-		
57	st58	DSM5687	B	b	Meth_rhodesianum-lusitanum	Anthropo	-		
58	st59	DSM760	A9	-	Meth_sp	Water	-		
59	st60	E-005	A9	-	Meth_sp	Phyllosphere	-		
60	st61	E-016	A6	-	Meth_sp	Phyllosphere	-		
