"B=Meth_gnaphalii" "B=Meth_brachythecii" "B=Meth_thuringiense" "B=Meth_haplocladii" "B=Meth_organophilum" "B=Meth_suomiense" "B=Meth_salsuginis" "B=Meth_sp_038" "B=Meth_rhodinum" "B=Meth_zatmanii" "B=Meth_sp_035" "B=Meth_sp_036" "B=Meth_sp_037" "B=Meth_extorquens" "B=Meth_sp_040" "B=Meth_thiocyanatum" "B=Meth_podarium" "B=Meth_rhodesianum" "B=Meth_sp_041" "B=Meth_aminovorans" "B=Meth_sp_039" "A=Meth_jeotgali" "A=Meth_planium" "A=Meth_soli" "A=Meth_oxalidis" "A=Meth_durans" "A=Meth_segetis" "A=Meth_trifolii" "A=Meth_cerastii" "A=Meth_sp_018" "A=Meth_dankookense" "A=Meth_symbioticum" "A=Meth_radiodurans" "A=Meth_gregans" "A=Meth_hispanicum" "A=Meth_aerolatum" "A=Meth_sp_034" "A=Meth_persicinum" "A=Meth_komagatae" "A=Meth_sp_033" "A=Meth_mesophilicum" "A=Meth_sp_032" "A=Meth_brachiatum" "A=Meth_sp_024" "A=Meth_sp_026" "A=Meth_sp_030" "A=Meth_sp_029" "A=Meth_pseudosasicola" "A=Meth_sp_022" "A=Meth_sp_027" "A=Meth_sp_021" "A=Meth_sp_023" "A=Meth_sp_019" "A=Meth_phyllostachyos" "A=Meth_sp_020" "A=Meth_longum" "A=Meth_sp_025" "A=Meth_tardum" "A=Meth_sp_031" "A=Meth_fujisawaense" "A=Meth_radiotolerans" "A=Meth_sp_028" "D=Meth_iners" "D=Meth_sp_017" "D=Meth_marchantiae" "D=Meth_sp_013" "D=Meth_sp_016" "D=Meth_sp_012" "D=Meth_sp_014" "D=Meth_bullatum" "D=Meth_sp_015" "D=Meth_sp_001" "D=Meth_adhaesivum" "D=Meth_gossipiicola" "D=Meth_sp_007" "D=Meth_sp_011" "D=Meth_sp_004" "D=Meth_sp_002" "D=Meth_goesingense" "D=Meth_sp_003" "D=Meth_sp_009" "D=Meth_sp_005" "D=Meth_sp_006" "D=Meth_sp_008" "D=Meth_sp_010" "C=Meth_isbiliense" "C=Meth_nodulans" "C=Meth_sp_044" "C=Meth_oryzihabitans" "C=Meth_crusticola" "C=Meth_variabile" "C=Meth_nonmethylotrophicum" "C=Meth_aquaticum" "C=Meth_tarhaniae" "C=Meth_frigidaeris" "C=Meth_currus" "C=Meth_sp_043" "C=Meth_sp_042" "C=Meth_terricola" "C=Meth_sp_045" "C=Meth_platani" "C=Meth_terrae" "C=Meth_ajmalii" "C=Meth_indicum" "Microvirga=Micr_sp_001" "Microvirga=Micr_sp_005" "Microvirga=Micr_sp_003" "Microvirga=Micr_aerophila" "Microvirga=Micr_subterranea" "Microvirga=Micr_makkahensis" "Microvirga=Micr_guangxiensis" "Microvirga=Micr_sp_006" "Microvirga=Micr_vignae" "Microvirga=Micr_flocculans" "Microvirga=Micr_sp_008" "Microvirga=Micr_lupini" "Microvirga=Micr_sp_002" "Microvirga=Micr_tunisiensis" "Microvirga=Micr_sp_004" "Microvirga=Micr_sp_007" "Microvirga=Micr_lotononidis" "Microvirga=Micr_ossetica" "Enterovirga=Ente_rhinocerotis" "Enterovirga=Ente_sp_001"
"B=Meth_gnaphalii" 0 0.180454997868144 0.175821144189366 0.16715724645321 0.221834075314905 0.213529169799551 0.231347295640122 0.209203524041615 0.224899337514742 0.254290044742832 0.20870299796096 0.238882163673372 0.236458106342905 0.263449913167863 0.244713963792586 0.256194884764142 0.278340935700756 0.24650143636209 0.243940393440435 0.229027918177429 0.243302550518 0.218703621743113 0.220239205603688 0.238543736391368 0.224893977274687 0.240464190137224 0.219780973475542 0.250217163911162 0.229729915860209 0.247386317438957 0.248436260754995 0.263215980855252 0.233544116798502 0.262865619829462 0.27081166223622 0.239654411249209 0.265330318814535 0.257820526361426 0.260961374913404 0.264509426674543 0.280888467176809 0.278436058702583 0.273330437827887 0.288650872524393 0.299563065273517 0.27212935191416 0.297211096764591 0.288556891223017 0.277808997068698 0.286532985567736 0.294408372717203 0.30311346920872 0.278514273266506 0.259281424760357 0.294336519057396 0.289874177377648 0.296960911700816 0.285015311553976 0.292420175279997 0.284913894882551 0.290421787561339 0.284786471178818 0.239237923194236 0.210260734249616 0.199617868396694 0.196904016997753 0.206500325003972 0.21869144003271 0.242447669318795 0.206438888546764 0.19185584653697 0.208638654021816 0.209070294772496 0.199359822661452 0.191791294706143 0.196303091766677 0.229328321394664 0.226002443237318 0.250245668759327 0.240818565036705 0.197609119222616 0.192321523311553 0.20396245253476 0.200870271569122 0.218919109508017 0.342048779330871 0.37023759647835 0.345681120171531 0.329062606152648 0.360581750356491 0.378355188982475 0.340103266775544 0.366607492506802 0.360578267643533 0.372094826153716 0.351925106348762 0.323585843982844 0.347951403023769 0.348128697292913 0.351362213132754 0.345060078396743 0.321605610374444 0.334755702237787 0.333993511845905 0.391778412616932 0.383302560655316 0.382211450222544 0.424630887996422 0.386525845649368 0.402506456137019 0.401250079694851 0.422334616029439 0.423892962078324 0.388818925410559 0.382206119068773 0.386570065572561 0.399245785177412 0.439367351741595 0.414486011514601 0.392344405760618 0.420129133706335 0.444607090258444 0.370047247063092 0.360761561020932
"B=Meth_brachythecii" 0.180454997868144 0 0.200576345482143 0.198697313115323 0.21369131398028 0.204421260278206 0.216458448094122 0.198547514379014 0.20928260364352 0.241344362457118 0.210012685984101 0.226812038512479 0.234069947805341 0.257512143077102 0.235549580350766 0.24735379702804 0.273535549268594 0.238048770711872 0.232634971913685 0.229694168709502 0.241358337860891 0.238262973870042 0.213702956839138 0.243667519656623 0.230480461954819 0.248463926299575 0.2214707067379 0.225225807467778 0.218388935563283 0.229320268003999 0.242954956925596 0.252082462346179 0.226244766686559 0.25444420484425 0.270198861990049 0.242528586005975 0.234817880656909 0.245161025991054 0.237446898981359 0.236559295573131 0.260994956115729 0.264641926329853 0.261310533334483 0.268359851144487 0.281399937378516 0.258090911880151 0.280249931432405 0.273168168313736 0.258360807663999 0.269186091680688 0.279636511984179 0.279804954213289 0.26612788667113 0.244033858384991 0.272220907812142 0.277146852929186 0.278387120015249 0.276902915811189 0.274468623340045 0.262368762476755 0.278093920842517 0.264359653711544 0.246906880254239 0.253514843915374 0.223173020276318 0.217977793765954 0.209744966856091 0.212003748093701 0.213092172424806 0.218534011371793 0.216294824653003 0.219465296586717 0.232302770785922 0.239791044353229 0.22895969132029 0.230463759022809 0.21484202006015 0.216040723516279 0.220469906707663 0.213819651570021 0.218123057322725 0.20824130234894 0.208681165476754 0.21099287566429 0.211016053086156 0.332623290969995 0.371948205125817 0.348362729076921 0.314507301634056 0.345265193724136 0.360874741251593 0.334847437835605 0.347890857073712 0.349811715385786 0.375973067661055 0.346482782597793 0.319468199860325 0.339711563518839 0.340674160516022 0.349452580454859 0.330877261826403 0.312441751621334 0.324948526696713 0.326262003994262 0.421990105411242 0.421439170536097 0.416919258721017 0.431059109132461 0.397664414877267 0.408904895702718 0.424275935725329 0.425860557200098 0.428176633580745 0.425754158595671 0.406694851141129 0.407734150148961 0.4071135619062 0.444942231246309 0.420961773920346 0.400487128400408 0.420474904085837 0.446295398273381 0.378064890743561 0.387520917316981
"B=Meth_thuringiense" 0.175821144189366 0.200576345482143 0.0341793658343627 0.116700837660586 0.212521247885622 0.205606661943003 0.217613495106366 0.198688737698891 0.214245110607253 0.242416935364151 0.207215807354479 0.228710004490371 0.232145365542766 0.264585968612554 0.236807977136082 0.254892377977813 0.280889262221171 0.253522591001671 0.247715743093463 0.233154802222235 0.24972215492866 0.205863042473766 0.24270569999637 0.252111304667864 0.23783697831681 0.249523948862423 0.223621212811861 0.228331320621072 0.218008821257184 0.237512139409457 0.261128236931868 0.275839885192763 0.242263521887284 0.271526175688544 0.274948879349035 0.230076581342765 0.250615324888253 0.249240493257427 0.261782484513753 0.259991222084959 0.271691446968594 0.277466345433386 0.275966500517788 0.287445260731158 0.300153668685702 0.270751366603925 0.296970547207176 0.289817995063692 0.278615927726837 0.288313554073287 0.298671466380901 0.30552953213109 0.283161175651014 0.262510029680123 0.297455578042197 0.297051385127266 0.305049969557552 0.30017936989052 0.30402197411349 0.28550822798996 0.308671142405575 0.3006936537982 0.243511083849028 0.202095511770967 0.198527686029829 0.197808482022829 0.211810457095593 0.217082748927756 0.235780657011093 0.201266195044211 0.186721531337241 0.194585265096556 0.190240101411078 0.184066924249991 0.181808464992087 0.1760968366164 0.211159278970757 0.2212470114014 0.247842297563038 0.232711129384994 0.202296885412365 0.194323582608272 0.210489968545813 0.204155212674197 0.226165502205148 0.346625210168938 0.397568987214979 0.357465417312741 0.328740028576906 0.36994580015856 0.383330990696329 0.35420649127892 0.367052053179678 0.367115227009403 0.392815089715403 0.357227803373596 0.329279980966116 0.351186036838537 0.354471383999818 0.354278654388621 0.345135601762834 0.324946232681651 0.337302765193038 0.338821844637437 0.396057469106312 0.390951388957752 0.384930979109109 0.435193105163868 0.398205261187099 0.411787440182405 0.407190540118603 0.437174693734501 0.436581384305724 0.387914981039931 0.394680961365636 0.395988749182473 0.411811666045208 0.451344217533972 0.429674626951388 0.402014741401396 0.428336658989755 0.457873533726104 0.380097652239107 0.375928233613345
"B=Meth_haplocladii" 0.16715724645321 0.198697313115323 0.116700837660586 0 0.211887319000902 0.208936507303677 0.219480113106593 0.202167112025825 0.217208591351782 0.247702645329633 0.211630376130022 0.233091664631378 0.238737670323454 0.271227418863444 0.244316671485899 0.265007399895304 0.283580087837527 0.255867450988831 0.251762018259059 0.234536312301561 0.256903165108646 0.191466988296706 0.240133467008363 0.25245873361898 0.232862333411754 0.244165782807838 0.217024991026931 0.233444861803992 0.220730792507362 0.240421170021695 0.258764034115903 0.273957839099426 0.240467779229436 0.274970528704091 0.273508830071345 0.233072734057921 0.253593037490573 0.245742716563228 0.260848691994928 0.267339371487728 0.271708413127927 0.275341880085213 0.270786856241336 0.291497159097482 0.302996222784767 0.267599883554714 0.301769677909638 0.291678876843935 0.279190774381535 0.290719280737217 0.299314147465721 0.305386728032458 0.281625737604472 0.259329111404098 0.298581937797268 0.296615055931458 0.306993433128849 0.295239813537463 0.3034711629446 0.28097517744939 0.304930095549359 0.296411115415686 0.239739712500407 0.182146257115879 0.197012308999782 0.198829365819728 0.221952038128987 0.230595247285548 0.251055576305282 0.208348470057948 0.194526641089907 0.193636926507001 0.197409732001438 0.172565221776894 0.187316005224932 0.181823954534189 0.224151259709877 0.222352644408008 0.249313284594986 0.241928824476477 0.206720160596845 0.196931483385643 0.210188464389302 0.205737598593344 0.228231125799943 0.349743006334659 0.393160172752745 0.361979674210107 0.331918791082966 0.375188699100161 0.383304874479149 0.354423516264752 0.371116887422883 0.372000118212387 0.396932431797979 0.354434312687897 0.3292134062602 0.352941723802501 0.358852729670854 0.357363736076312 0.346812027362076 0.323979459607635 0.335782866545249 0.337293724675225 0.403057810226056 0.380136380161303 0.37025973001701 0.442881966589309 0.403003347236754 0.41587904766317 0.410710963737542 0.439473346743794 0.439411707105525 0.377070090289751 0.396126566360323 0.40287161636592 0.417301639472562 0.455056376541986 0.430123488066791 0.406787480086623 0.433424705625198 0.460642689788209 0.384147273679313 0.376930826992534
"B=Meth_organophilum" 0.221834075314905 0.21369131398028 0.212521247885622 0.211887319000902 0 0.195294561897593 0.20659693829575 0.194921436920726 0.209731124419096 0.196142067786998 0.19661794262876 0.210343153722569 0.219068171500044 0.241686542440831 0.222166093322389 0.226427353773172 0.254573640551311 0.224016190542014 0.217722388521819 0.219597892830443 0.228081942615077 0.23890431896054 0.221964744667149 0.243826420679134 0.236461116493581 0.248760523603115 0.223935796897154 0.246005821576157 0.225263064892866 0.238800481996061 0.241772378195297 0.234585799695441 0.225841930190249 0.252737236316163 0.254713840417142 0.240460252510167 0.251951344537013 0.238742665504069 0.241202028371369 0.245533696219087 0.27120244870564 0.272184740597368 0.264094419318982 0.278558518038722 0.289056040408425 0.264791373682246 0.287935662693091 0.277027560735845 0.269728657779961 0.279793498502985 0.289768506396479 0.296889142985878 0.262722406251393 0.247661847472733 0.285825065909744 0.287614877060807 0.296557366034405 0.278635209543904 0.284197129920421 0.268943733696668 0.283356064229294 0.277304095347361 0.236089365014184 0.241077950315187 0.219409035434208 0.214634240715559 0.204916408296896 0.21210903308294 0.229672559969783 0.209232546065518 0.205813847450199 0.216151130743273 0.216123320709948 0.222623496427424 0.218329299813591 0.221035084435699 0.213898751787736 0.216853388200663 0.237533509928633 0.230880305031675 0.209386637942894 0.213287840368443 0.21156779287914 0.210162674646255 0.219412090513392 0.331633515874268 0.381701212676927 0.341466632566853 0.310218179900537 0.35585194102588 0.357417205700522 0.330909039565487 0.347866793412632 0.350649257935929 0.376218282631002 0.337013044544928 0.314052521234761 0.33524553205363 0.332313810383332 0.3381662215229 0.33477999974549 0.310415231095774 0.320603059554413 0.323539265408277 0.408345835429035 0.405503003435496 0.409653298664276 0.428206539220089 0.386348066472913 0.40158424779244 0.412828629505092 0.427237789122233 0.426598117001052 0.414178500734346 0.393486488332903 0.393445475128154 0.406592944704026 0.450225200322851 0.41939942980595 0.391464144837022 0.420966668583157 0.453375033634678 0.376452869080066 0.370112310705189
"B=Meth_suomiense" 0.213529169799551 0.204421260278206 0.205606661943003 0.208936507303677 0.195294561897593 0.0294591183204207 0.120775806280374 0.11833654918314 0.127171818261402 0.167673424226932 0.137451449948232 0.157237328195223 0.156576046656316 0.184172816431309 0.167101080673026 0.174573016123932 0.208018881720845 0.169806184617315 0.166664607464606 0.150160885850233 0.17341566201302 0.241718946253091 0.216982375350226 0.232568765265269 0.213106917478792 0.237706751175891 0.205358569383015 0.240750375315673 0.222791560804944 0.23466397797771 0.231741042092369 0.249439495345709 0.210623212219223 0.230165270628194 0.237894084403642 0.248921240821087 0.252064738138933 0.254261744826675 0.237353506296159 0.252280556336496 0.270397938431995 0.272661647704596 0.261914126902983 0.282927442485892 0.287116344676611 0.263208862487169 0.28900905446479 0.273921228769159 0.275871479564152 0.281699277839407 0.290325955317795 0.299250754328585 0.268743128924568 0.243108814197613 0.287891445374902 0.283922655090143 0.293276423709385 0.277912889645456 0.284633249988269 0.26958002308184 0.279194891667883 0.281527072778574 0.223789422690789 0.228271239895989 0.216057675385005 0.214441710063019 0.192938836867094 0.206371456513053 0.215661629447718 0.204932005030847 0.20754175154306 0.221562426151858 0.210334554376857 0.21289105882364 0.205180932411584 0.208993168160027 0.203311662546695 0.215640082281486 0.215340289079149 0.202299353718086 0.19327542267412 0.199972522031747 0.19699012128102 0.194854964209819 0.199163692255803 0.321194547894384 0.37854516227199 0.339216589577536 0.315098336266178 0.350922105304229 0.357708845399984 0.331544510557461 0.344544460160904 0.344290071847852 0.371849985409255 0.336321568114194 0.310540630995942 0.330750562329889 0.32688437333463 0.331399456973743 0.327188439311741 0.300987457061067 0.309250028854437 0.31457011673086 0.422986018998233 0.418927681782658 0.416647458015901 0.431019981184629 0.397826341491315 0.406950582805821 0.421740391211923 0.429305872257567 0.431590962786453 0.425631767249766 0.401321691405152 0.407356876803524 0.405170634553545 0.450304269868465 0.427001102168015 0.398395904606874 0.431008350697708 0.452598269717373 0.389400024181446 0.386137252567889
"B=Meth_salsuginis" 0.231347295640122 0.216458448094122 0.217613495106366 0.219480113106593 0.20659693829575 0.120775806280374 0 0.112018098646426 0.11465233301438 0.171573696109862 0.136040587808143 0.148655045359467 0.151736639830023 0.189368531184577 0.160525658076356 0.176588994226791 0.206169433029839 0.174699542095088 0.172622368107554 0.148888317801521 0.17210781636454 0.253655369618986 0.227749798339881 0.23778115256334 0.216681098752902 0.241325190375931 0.209463177422145 0.242442630776432 0.233497282218354 0.241428549232143 0.234723377890696 0.253059498792616 0.216895192371556 0.237107444877204 0.244329534807432 0.257323201723317 0.265880030920284 0.266942457320881 0.249541148214851 0.259965927635845 0.266707583809826 0.275900274248147 0.264629591792647 0.288773398722176 0.29271516104177 0.266591000712894 0.292449692968597 0.280647313652022 0.279516260738539 0.283250374385937 0.291413241029226 0.301049221853152 0.275647704658294 0.24872376990906 0.291508996107649 0.284531943333813 0.296058130532165 0.27914158268503 0.28634193484404 0.267252177216058 0.280717450324576 0.279646797634856 0.230985859667416 0.239210221471155 0.231049288827456 0.224905665760035 0.209651892377099 0.219833653756877 0.220078558921652 0.219261916788309 0.22155966676503 0.236348779700088 0.22357919592127 0.22067133498902 0.222870422420764 0.224668136877131 0.221785369140232 0.223577869525129 0.222404766114568 0.210165295935249 0.215082317538716 0.215670198482328 0.216974194532377 0.216887951804515 0.214906652259731 0.324692975437127 0.382308220898632 0.344520063240117 0.323349680943537 0.35617072913347 0.3616814420931 0.335869551987042 0.345532068322417 0.342012436499338 0.376526923533119 0.337447854237767 0.309954682249392 0.332266675811788 0.334517911985674 0.338752943162201 0.328062403784742 0.303581109674328 0.314775540317161 0.31418359320919 0.435185448124228 0.434632851628838 0.42665990435941 0.441781939121731 0.411376295965168 0.412344430621729 0.435223900285428 0.434688137739517 0.437295531460201 0.438006119876424 0.415071454124835 0.421345069042355 0.413902551956908 0.45499079621258 0.434069031359439 0.410981465901597 0.435787813202904 0.463188428130412 0.40232607099599 0.3984134636929
"B=Meth_sp_038" 0.209203524041615 0.198547514379014 0.198688737698891 0.202167112025825 0.194921436920726 0.11833654918314 0.112018098646426 0 0.108216245996498 0.181553153774856 0.12366615577286 0.139421699195909 0.15010342405598 0.182360105679337 0.158048337716658 0.178154911158786 0.20671924420279 0.17262125861915 0.165212008422702 0.150368741074453 0.172522026817478 0.240300487736189 0.213976348683265 0.228423806996822 0.208916688383267 0.234556819984238 0.19482003713299 0.224242421028693 0.216486528504129 0.232856184810332 0.233297878265105 0.249501163220873 0.209092539575706 0.239690464773645 0.245698567114344 0.245855778964542 0.250068705580063 0.249675819231322 0.244049062763206 0.247569141081565 0.266087730513376 0.269132173954491 0.261372210019476 0.276942818044814 0.285618555887278 0.261214431281769 0.280825914983358 0.275264727640128 0.268762883605717 0.279105730158 0.287556389919289 0.296393513712742 0.268834242046047 0.245458691400117 0.283197644823576 0.278313667550637 0.289932408465752 0.280200741354738 0.281623256118839 0.263181831026454 0.277929473550238 0.274678552464867 0.222112776986908 0.218361021612334 0.20736317727747 0.201767024492426 0.186236417697303 0.191931694333858 0.206771861905723 0.195089959493383 0.198147954970766 0.210659546788349 0.210479921246307 0.211868029218038 0.196450860602377 0.202277486718497 0.203821177990723 0.210268054254126 0.211827216334556 0.199064863071119 0.196849953406664 0.194402900247485 0.189621750120633 0.19159935611099 0.195562500263284 0.322036830202387 0.374546214841888 0.337915480827246 0.312353964396157 0.351586288632543 0.360586945143376 0.329332126686643 0.346074140421795 0.339491264005819 0.373833131245714 0.334986798137388 0.304248094892223 0.326143538711296 0.326377315326014 0.335943551020862 0.324581139444498 0.299364607716096 0.310246645657574 0.311771281769228 0.417752545138752 0.417793653599301 0.411278729603956 0.426267864065267 0.390211319205616 0.402458495204166 0.415299409628768 0.421411856763163 0.424131739903306 0.420575819922949 0.394913134196473 0.4004979973963 0.400765067371978 0.444443987158869 0.418576272558185 0.390925805277234 0.420753082476683 0.445296664092752 0.378384229919603 0.376760942789253
"B=Meth_rhodinum" 0.224899337514742 0.20928260364352 0.214245110607253 0.217208591351782 0.209731124419096 0.127171818261402 0.11465233301438 0.108216245996498 0 0.18405335724459 0.135399353034253 0.158329077990953 0.157675867343554 0.194952921327377 0.167526545861883 0.182541061680712 0.210040100246872 0.179200389198853 0.175915143757802 0.161545565040116 0.181536123979334 0.254405428956339 0.221377293436487 0.242208137694394 0.226622079110078 0.250543322236898 0.213912666468988 0.240100477400581 0.234410521954774 0.24844976529089 0.245159502783761 0.257717051831556 0.214171924880507 0.241922240562701 0.248770400564302 0.258833939399596 0.264944431841803 0.259314304862465 0.253713095878943 0.2580892526853 0.276646519514898 0.284993903337086 0.273023585726112 0.292174967905005 0.296380891195967 0.274539005646273 0.294039632957495 0.288280315414711 0.285975683926041 0.290226772509922 0.298910293889771 0.303418731711205 0.284679020660124 0.259580286673503 0.299162786583823 0.291313779099353 0.297916477872758 0.290193961132597 0.294361097737806 0.27650315581944 0.286725802227794 0.283828459522048 0.22230570152981 0.232713380699424 0.219279184179123 0.223355520925071 0.205744498664218 0.218126009677866 0.221442929410143 0.211234526361813 0.211659046338768 0.231415632814707 0.222326220360252 0.225656628306339 0.21613997134804 0.215516010530641 0.211677944518665 0.21640621840673 0.221140001426834 0.207762388810494 0.212055925994052 0.20637322297403 0.20391848190556 0.206104115920139 0.210197667237841 0.320967194301335 0.384134700204368 0.343607819289327 0.323184158312784 0.354901252567717 0.360484258304212 0.336814600945932 0.344889846965025 0.349104274037173 0.382556506288539 0.344307746650989 0.318057295471723 0.337487230438636 0.337099331874001 0.342661612912725 0.334338851241898 0.309952805767412 0.319207857359124 0.322194565781847 0.432547268579572 0.424361526081163 0.425721888690201 0.435186508593036 0.406041665082945 0.412139360944007 0.425984048110907 0.432017925196343 0.433111743150423 0.433815634954544 0.405708052432626 0.414420335747014 0.407519102576344 0.450051955978037 0.430156542811868 0.405198621942398 0.433134458440666 0.456725533671541 0.392087376377681 0.386575764562496
"B=Meth_zatmanii" 0.254290044742832 0.241344362457118 0.242416935364151 0.247702645329633 0.196142067786998 0.167673424226932 0.171573696109862 0.181553153774856 0.18405335724459 0 0.16122919527466 0.15276043140133 0.156439907423719 0.179220356057829 0.161838579095843 0.161499983445324 0.19191429665391 0.157262898540799 0.157660358702688 0.152393298950067 0.166795588046457 0.274371942047149 0.24945360874627 0.254569597596453 0.238381887601104 0.256268780048655 0.235923747461311 0.277593460072382 0.262662600838806 0.26024836904747 0.245358483325517 0.249096577573267 0.241129454782802 0.248074831819083 0.247235352390741 0.286752219766227 0.291320162489534 0.279156165965892 0.263761813524221 0.27408237098598 0.288325565860208 0.292145914307395 0.276781301992872 0.301923239562535 0.306589907770149 0.285980947120441 0.310491517227592 0.295698123204293 0.295071482745631 0.302173671762235 0.310311174934413 0.313268905369286 0.274084999991097 0.263121515931716 0.307394087646546 0.304237404541999 0.312040485546723 0.290320252564198 0.303437125370282 0.28445151936247 0.299213387807637 0.302891804932205 0.260972440720754 0.268664173834799 0.256892391805483 0.259138272518954 0.23597313001529 0.246810438797307 0.240892767454662 0.245432305910837 0.246026936194047 0.259840644762612 0.24590616146382 0.247740267757271 0.24616263769383 0.244906629506237 0.245973100472306 0.254846645777375 0.249844452130001 0.239176177190341 0.237697669778598 0.24559591221406 0.244104126187303 0.241782777290516 0.240680451028757 0.33298639717936 0.391359874515646 0.355538431509306 0.329780954743673 0.36750095655067 0.363198915749707 0.34613310502828 0.360347219350327 0.35894838719889 0.387367969192038 0.340499799015454 0.33079941149819 0.350497800119216 0.347909413144036 0.345281398478303 0.346690874205883 0.324681171223176 0.333330873573747 0.339867043002627 0.44768480150978 0.440745789685371 0.444099027302878 0.443436519017507 0.420902216395088 0.418163988688575 0.443027213410687 0.438770387825173 0.435704382790415 0.448829062477649 0.426837665926826 0.429740488647026 0.427711874154073 0.462632050847011 0.438023628998529 0.418535474797559 0.436877312501131 0.462995226849499 0.421166089746697 0.401083004815702
