"B=Meth_gnaphalii" "B=Meth_brachythecii" "B=Meth_thuringiense" "B=Meth_haplocladii" "B=Meth_organophilum" "B=Meth_suomiense" "B=Meth_salsuginis" "B=Meth_sp_038" "B=Meth_rhodinum" "B=Meth_zatmanii" "B=Meth_sp_035" "B=Meth_sp_036" "B=Meth_sp_037" "B=Meth_extorquens" "B=Meth_sp_040" "B=Meth_thiocyanatum" "B=Meth_podarium" "B=Meth_rhodesianum" "B=Meth_sp_041" "B=Meth_aminovorans" "B=Meth_sp_039" "A=Meth_jeotgali" "A=Meth_planium" "A=Meth_soli" "A=Meth_oxalidis" "A=Meth_durans" "A=Meth_segetis" "A=Meth_trifolii" "A=Meth_cerastii" "A=Meth_sp_018" "A=Meth_dankookense" "A=Meth_symbioticum" "A=Meth_radiodurans" "A=Meth_gregans" "A=Meth_hispanicum" "A=Meth_aerolatum" "A=Meth_sp_034" "A=Meth_persicinum" "A=Meth_komagatae" "A=Meth_sp_033" "A=Meth_mesophilicum" "A=Meth_sp_032" "A=Meth_brachiatum" "A=Meth_sp_024" "A=Meth_sp_026" "A=Meth_sp_030" "A=Meth_sp_029" "A=Meth_pseudosasicola" "A=Meth_sp_022" "A=Meth_sp_027" "A=Meth_sp_021" "A=Meth_sp_023" "A=Meth_sp_019" "A=Meth_phyllostachyos" "A=Meth_sp_020" "A=Meth_longum" "A=Meth_sp_025" "A=Meth_tardum" "A=Meth_sp_031" "A=Meth_fujisawaense" "A=Meth_radiotolerans" "A=Meth_sp_028" "D=Meth_iners" "D=Meth_sp_017" "D=Meth_marchantiae" "D=Meth_sp_013" "D=Meth_sp_016" "D=Meth_sp_012" "D=Meth_sp_014" "D=Meth_bullatum" "D=Meth_sp_015" "D=Meth_sp_001" "D=Meth_adhaesivum" "D=Meth_gossipiicola" "D=Meth_sp_007" "D=Meth_sp_011" "D=Meth_sp_004" "D=Meth_sp_002" "D=Meth_goesingense" "D=Meth_sp_003" "D=Meth_sp_009" "D=Meth_sp_005" "D=Meth_sp_006" "D=Meth_sp_008" "D=Meth_sp_010" "C=Meth_isbiliense" "C=Meth_nodulans" "C=Meth_sp_044" "C=Meth_oryzihabitans" "C=Meth_crusticola" "C=Meth_variabile" "C=Meth_nonmethylotrophicum" "C=Meth_aquaticum" "C=Meth_tarhaniae" "C=Meth_frigidaeris" "C=Meth_currus" "C=Meth_sp_043" "C=Meth_sp_042" "C=Meth_terricola" "C=Meth_sp_045" "C=Meth_platani" "C=Meth_terrae" "C=Meth_ajmalii" "C=Meth_indicum" "Microvirga=Micr_sp_001" "Microvirga=Micr_sp_005" "Microvirga=Micr_sp_003" "Microvirga=Micr_aerophila" "Microvirga=Micr_subterranea" "Microvirga=Micr_makkahensis" "Microvirga=Micr_guangxiensis" "Microvirga=Micr_sp_006" "Microvirga=Micr_vignae" "Microvirga=Micr_flocculans" "Microvirga=Micr_sp_008" "Microvirga=Micr_lupini" "Microvirga=Micr_sp_002" "Microvirga=Micr_tunisiensis" "Microvirga=Micr_sp_004" "Microvirga=Micr_sp_007" "Microvirga=Micr_lotononidis" "Microvirga=Micr_ossetica" "Enterovirga=Ente_rhinocerotis" "Enterovirga=Ente_sp_001"
"B=Meth_gnaphalii" 1 0.958333333333333 0.846354166666667 0.765625 0.5234375 0.502604166666667 0.5 0.5 0.502604166666667 0.5390625 0.536458333333333 0.533854166666667 0.536458333333333 0.532696759259259 0.533854166666667 0.538541666666667 0.526041666666667 0.538194444444444 0.5390625 0.536458333333333 0.536458333333333 0.5546875 0.5859375 0.5859375 0.588541666666667 0.591145833333333 0.588541666666667 0.528645833333333 0.498697916666667 0.506655092592593 0.510416666666667 0.502604166666667 0.486979166666667 0.479166666666667 0.479166666666667 0.447916666666667 0.447916666666667 0.442708333333333 0.453125 0.447916666666667 0.471354166666667 0.4765625 0.477864583333333 0.471354166666667 0.4765625 0.470052083333333 0.470052083333333 0.4765625 0.458333333333333 0.46875 0.466145833333333 0.46875 0.473958333333333 0.473958333333333 0.466145833333333 0.47265625 0.4765625 0.471354166666667 0.475260416666667 0.4765625 0.476190476190476 0.475911458333333 0.515625 0.505208333333333 0.557291666666667 0.5546875 0.555989583333333 0.5546875 0.5546875 0.5546875 0.5546875 0.5703125 0.549479166666667 0.552083333333333 0.5578125 0.563802083333333 0.5703125 0.536458333333333 0.5390625 0.544270833333333 0.548177083333333 0.541666666666667 0.546875 0.543229166666667 0.545572916666667 0.447916666666667 0.463541666666667 0.4609375 0.440104166666667 0.4765625 0.4609375 0.458333333333333 0.442708333333333 0.458333333333333 0.4453125 0.447916666666667 0.447916666666667 0.442708333333333 0.463541666666667 0.455729166666667 0.458333333333333 0.46875 0.462239583333333 0.455729166666667 0.486979166666667 0.5 0.505208333333333 0.5078125 0.502604166666667 0.497395833333333 0.5 0.5078125 0.505208333333333 0.502604166666667 0.505208333333333 0.505208333333333 0.505208333333333 0.5078125 0.489583333333333 0.497395833333333 0.497395833333333 0.5078125 0.3828125 0.432291666666667
"B=Meth_brachythecii" 0.958333333333333 1 0.8359375 0.755208333333333 0.520833333333333 0.494791666666667 0.494791666666667 0.494791666666667 0.497395833333333 0.53125 0.528645833333333 0.528645833333333 0.53125 0.527488425925926 0.528645833333333 0.530729166666667 0.5234375 0.530381944444444 0.53125 0.528645833333333 0.528645833333333 0.549479166666667 0.580729166666667 0.580729166666667 0.5859375 0.5859375 0.583333333333333 0.526041666666667 0.49609375 0.504050925925926 0.5078125 0.5 0.484375 0.479166666666667 0.479166666666667 0.447916666666667 0.447916666666667 0.442708333333333 0.453125 0.447916666666667 0.471354166666667 0.4765625 0.477864583333333 0.471354166666667 0.4765625 0.470052083333333 0.470052083333333 0.4765625 0.458333333333333 0.46875 0.466145833333333 0.46875 0.473958333333333 0.473958333333333 0.466145833333333 0.47265625 0.4765625 0.471354166666667 0.475260416666667 0.4765625 0.476190476190476 0.475911458333333 0.513020833333333 0.502604166666667 0.552083333333333 0.549479166666667 0.55078125 0.549479166666667 0.549479166666667 0.549479166666667 0.549479166666667 0.565104166666667 0.544270833333333 0.546875 0.552604166666666 0.55859375 0.565104166666667 0.533854166666667 0.541666666666667 0.544270833333333 0.545572916666667 0.541666666666667 0.546875 0.543229166666667 0.545572916666667 0.4453125 0.463541666666667 0.4609375 0.4375 0.473958333333333 0.458333333333333 0.455729166666667 0.440104166666667 0.455729166666667 0.442708333333333 0.4453125 0.4453125 0.440104166666667 0.4609375 0.453125 0.455729166666667 0.463541666666667 0.459635416666667 0.453125 0.484375 0.497395833333333 0.502604166666667 0.505208333333333 0.5 0.494791666666667 0.497395833333333 0.505208333333333 0.502604166666667 0.5 0.502604166666667 0.502604166666667 0.502604166666667 0.505208333333333 0.486979166666667 0.494791666666667 0.494791666666667 0.505208333333333 0.380208333333333 0.4296875
"B=Meth_thuringiense" 0.846354166666667 0.8359375 0.98046875 0.794270833333333 0.520833333333333 0.497395833333333 0.494791666666667 0.494791666666667 0.497395833333333 0.5234375 0.528645833333333 0.520833333333333 0.5234375 0.522280092592593 0.5234375 0.525520833333334 0.515625 0.525173611111111 0.526041666666667 0.5234375 0.5234375 0.549479166666667 0.583333333333333 0.58203125 0.587239583333333 0.58984375 0.587239583333333 0.526041666666667 0.498697916666667 0.501736111111111 0.505208333333333 0.494791666666667 0.4765625 0.473958333333333 0.473958333333333 0.442708333333333 0.442708333333333 0.4375 0.447916666666667 0.442708333333333 0.463541666666667 0.46875 0.470703125 0.463541666666667 0.470052083333333 0.46484375 0.46484375 0.46875 0.453125 0.463541666666667 0.4609375 0.46484375 0.466145833333333 0.46875 0.4609375 0.467447916666667 0.46875 0.466145833333333 0.467447916666667 0.46875 0.468377976190476 0.468098958333333 0.506510416666667 0.5 0.55859375 0.557291666666667 0.555989583333333 0.55859375 0.55859375 0.559635416666667 0.557291666666667 0.563802083333333 0.541666666666667 0.544270833333333 0.5515625 0.557291666666667 0.565104166666667 0.526041666666667 0.53125 0.536458333333333 0.5390625 0.53515625 0.537760416666667 0.537760416666667 0.537760416666667 0.4453125 0.458333333333333 0.455729166666667 0.432291666666667 0.471354166666667 0.4609375 0.458333333333333 0.4375 0.453125 0.442708333333333 0.442708333333333 0.442708333333333 0.4375 0.4609375 0.455729166666667 0.455729166666667 0.4609375 0.4609375 0.453125 0.479166666666667 0.493489583333333 0.497395833333333 0.501302083333333 0.49609375 0.490885416666667 0.493489583333333 0.501302083333333 0.498697916666667 0.49609375 0.498697916666667 0.498697916666667 0.498697916666667 0.501302083333333 0.484375 0.489583333333333 0.489583333333333 0.501302083333333 0.375 0.423177083333333
"B=Meth_haplocladii" 0.765625 0.755208333333333 0.794270833333333 1 0.494791666666667 0.473958333333333 0.473958333333333 0.471354166666667 0.479166666666667 0.505208333333333 0.513020833333333 0.502604166666667 0.505208333333333 0.504050925925926 0.505208333333333 0.507291666666667 0.494791666666667 0.506944444444444 0.5078125 0.502604166666667 0.505208333333333 0.515625 0.552083333333333 0.552083333333333 0.549479166666667 0.552083333333333 0.549479166666667 0.494791666666667 0.475260416666667 0.478298611111111 0.489583333333333 0.4765625 0.4609375 0.458333333333333 0.4609375 0.421875 0.421875 0.419270833333333 0.4296875 0.424479166666667 0.4375 0.442708333333333 0.444661458333333 0.4375 0.442708333333333 0.438802083333333 0.4375 0.442708333333333 0.432291666666667 0.440104166666667 0.4375 0.4375 0.440104166666667 0.442708333333333 0.434895833333333 0.44140625 0.442708333333333 0.440104166666667 0.444010416666667 0.4453125 0.444940476190476 0.444661458333333 0.4921875 0.4765625 0.528645833333333 0.528645833333333 0.529947916666667 0.53125 0.53125 0.53125 0.53125 0.53125 0.510416666666667 0.513020833333333 0.516145833333333 0.520833333333333 0.528645833333333 0.5 0.5078125 0.513020833333333 0.513020833333333 0.510416666666667 0.513020833333333 0.513020833333333 0.513020833333333 0.4296875 0.442708333333333 0.440104166666667 0.419270833333333 0.450520833333333 0.4453125 0.4453125 0.427083333333333 0.434895833333333 0.427083333333333 0.432291666666667 0.4296875 0.424479166666667 0.450520833333333 0.4453125 0.440104166666667 0.442708333333333 0.447916666666667 0.440104166666667 0.458333333333333 0.473958333333333 0.473958333333333 0.481770833333333 0.473958333333333 0.473958333333333 0.473958333333333 0.481770833333333 0.479166666666667 0.4765625 0.479166666666667 0.479166666666667 0.479166666666667 0.481770833333333 0.463541666666667 0.46875 0.46875 0.481770833333333 0.361979166666667 0.40625
"B=Meth_organophilum" 0.5234375 0.520833333333333 0.520833333333333 0.494791666666667 1 0.473958333333333 0.458333333333333 0.463541666666667 0.46875 0.4921875 0.489583333333333 0.484375 0.486979166666667 0.485821759259259 0.486979166666667 0.4921875 0.481770833333333 0.491319444444444 0.4921875 0.489583333333333 0.489583333333333 0.515625 0.541666666666667 0.5390625 0.5390625 0.544270833333333 0.544270833333333 0.4921875 0.479166666666667 0.477719907407408 0.484375 0.4765625 0.479166666666667 0.46875 0.471354166666667 0.4296875 0.424479166666667 0.421875 0.4296875 0.424479166666667 0.440104166666667 0.442708333333333 0.447916666666667 0.4453125 0.447916666666667 0.438802083333333 0.44140625 0.4453125 0.4296875 0.440104166666667 0.442708333333333 0.440104166666667 0.4453125 0.447916666666667 0.440104166666667 0.446614583333333 0.4453125 0.4453125 0.444010416666667 0.445638020833333 0.4453125 0.4453125 0.4765625 0.463541666666667 0.513020833333333 0.515625 0.515625 0.515625 0.515625 0.515104166666667 0.513020833333333 0.520833333333333 0.502604166666667 0.5 0.507291666666667 0.513020833333333 0.520833333333333 0.489583333333333 0.486979166666667 0.4921875 0.497395833333333 0.497395833333333 0.502604166666667 0.5 0.501302083333333 0.424479166666667 0.4296875 0.4296875 0.4140625 0.4453125 0.421875 0.427083333333333 0.419270833333333 0.416666666666667 0.40625 0.4140625 0.416666666666667 0.4140625 0.4296875 0.424479166666667 0.4296875 0.424479166666667 0.425130208333333 0.421223958333333 0.453125 0.4609375 0.471354166666667 0.471354166666667 0.46875 0.4609375 0.463541666666667 0.471354166666667 0.46875 0.463541666666667 0.463541666666667 0.463541666666667 0.466145833333333 0.466145833333333 0.450520833333333 0.455729166666667 0.458333333333333 0.466145833333333 0.3671875 0.403645833333333
"B=Meth_suomiense" 0.502604166666667 0.494791666666667 0.497395833333333 0.473958333333333 0.473958333333333 0.984375 0.712239583333333 0.7421875 0.747395833333333 0.6328125 0.635416666666667 0.630208333333333 0.635416666666667 0.636574074074074 0.638020833333333 0.640104166666667 0.630208333333333 0.639756944444445 0.640625 0.638020833333333 0.638020833333333 0.505208333333333 0.53125 0.53125 0.520833333333333 0.526041666666667 0.526041666666667 0.485677083333333 0.4609375 0.463686342592593 0.48828125 0.483072916666667 0.458333333333333 0.455729166666667 0.4609375 0.421875 0.419270833333333 0.4140625 0.424479166666667 0.419270833333333 0.4296875 0.440104166666667 0.436848958333333 0.434895833333333 0.440104166666667 0.43359375 0.432291666666667 0.434895833333333 0.424479166666667 0.432291666666667 0.432291666666667 0.434895833333333 0.438802083333333 0.440104166666667 0.432291666666667 0.440104166666667 0.434895833333333 0.434895833333333 0.438802083333333 0.440104166666667 0.440104166666667 0.439778645833334 0.477864583333333 0.464409722222222 0.510416666666667 0.502604166666667 0.501302083333333 0.502604166666667 0.502604166666667 0.5015625 0.5 0.510416666666667 0.497395833333333 0.497395833333333 0.500520833333333 0.49609375 0.502604166666667 0.486979166666667 0.484375 0.489583333333333 0.489583333333333 0.489583333333333 0.489583333333333 0.489583333333333 0.489583333333333 0.4296875 0.432291666666667 0.4375 0.4140625 0.4296875 0.42578125 0.424479166666667 0.4140625 0.421875 0.412760416666667 0.421875 0.419270833333333 0.4140625 0.4296875 0.42578125 0.424479166666667 0.4296875 0.419921875 0.417317708333333 0.44921875 0.45703125 0.45703125 0.46484375 0.459635416666667 0.451822916666667 0.454427083333333 0.46484375 0.462239583333333 0.462239583333333 0.459635416666667 0.459635416666667 0.462239583333333 0.462239583333333 0.451822916666667 0.454427083333333 0.45703125 0.462239583333333 0.360677083333333 0.391927083333333
"B=Meth_salsuginis" 0.5 0.494791666666667 0.494791666666667 0.473958333333333 0.458333333333333 0.712239583333333 1 0.744791666666667 0.6875 0.6171875 0.619791666666667 0.614583333333333 0.622395833333333 0.621527777777778 0.62109375 0.624479166666667 0.6171875 0.624131944444444 0.625 0.622395833333333 0.622395833333333 0.489583333333333 0.515625 0.518229166666667 0.5078125 0.510416666666667 0.510416666666667 0.46875 0.454427083333333 0.457465277777778 0.473958333333333 0.46875 0.4453125 0.442708333333333 0.447916666666667 0.421875 0.419270833333333 0.416666666666667 0.424479166666667 0.419270833333333 0.427083333333333 0.432291666666667 0.43359375 0.4296875 0.434895833333333 0.4296875 0.4296875 0.432291666666667 0.421875 0.427083333333333 0.427083333333333 0.4296875 0.432291666666667 0.434895833333333 0.427083333333333 0.434895833333333 0.432291666666667 0.4296875 0.43359375 0.434895833333333 0.434895833333333 0.4345703125 0.463541666666667 0.456597222222222 0.489583333333333 0.4921875 0.485677083333333 0.486979166666667 0.486979166666667 0.4859375 0.484375 0.4921875 0.484375 0.481770833333333 0.482291666666666 0.477864583333333 0.484375 0.473958333333333 0.471354166666667 0.473958333333333 0.473958333333333 0.4765625 0.4765625 0.4765625 0.4765625 0.4140625 0.421875 0.4296875 0.408854166666667 0.421875 0.421875 0.424479166666667 0.419270833333333 0.421875 0.408854166666667 0.421875 0.419270833333333 0.4140625 0.427083333333333 0.421875 0.427083333333333 0.4296875 0.415364583333333 0.408854166666667 0.4453125 0.455729166666667 0.453125 0.4609375 0.455729166666667 0.447916666666667 0.453125 0.4609375 0.458333333333333 0.458333333333333 0.455729166666667 0.455729166666667 0.458333333333333 0.458333333333333 0.447916666666667 0.450520833333333 0.453125 0.458333333333333 0.364583333333333 0.393229166666667
"B=Meth_sp_038" 0.5 0.494791666666667 0.494791666666667 0.471354166666667 0.463541666666667 0.7421875 0.744791666666667 1 0.700520833333333 0.619791666666667 0.622395833333333 0.611979166666667 0.619791666666667 0.618344907407408 0.619791666666667 0.624479166666667 0.6171875 0.624131944444444 0.625 0.622395833333333 0.622395833333333 0.497395833333333 0.518229166666667 0.518229166666667 0.5078125 0.513020833333333 0.513020833333333 0.4765625 0.459635416666667 0.464699074074074 0.481770833333333 0.473958333333333 0.4609375 0.453125 0.4609375 0.419270833333333 0.416666666666667 0.4140625 0.421875 0.416666666666667 0.4296875 0.434895833333333 0.435546875 0.432291666666667 0.4375 0.428385416666667 0.4296875 0.432291666666667 0.421875 0.427083333333333 0.427083333333333 0.4296875 0.434895833333333 0.434895833333333 0.427083333333333 0.434895833333333 0.434895833333333 0.4296875 0.436197916666667 0.4375 0.4375 0.437174479166667 0.458333333333333 0.453993055555556 0.489583333333333 0.489583333333333 0.485677083333333 0.486979166666667 0.486979166666667 0.486458333333334 0.486979166666667 0.497395833333333 0.484375 0.481770833333333 0.482291666666666 0.479166666666667 0.484375 0.484375 0.471354166666667 0.479166666666667 0.481770833333333 0.481770833333333 0.484375 0.481770833333333 0.483072916666667 0.419270833333333 0.427083333333333 0.432291666666667 0.4140625 0.4296875 0.419270833333333 0.421875 0.419270833333333 0.4296875 0.408854166666667 0.424479166666667 0.421875 0.416666666666667 0.427083333333333 0.421875 0.427083333333333 0.4296875 0.4140625 0.408854166666667 0.447916666666667 0.455729166666667 0.455729166666667 0.463541666666667 0.458333333333333 0.450520833333333 0.455729166666667 0.463541666666667 0.4609375 0.4609375 0.4609375 0.458333333333333 0.4609375 0.4609375 0.4453125 0.453125 0.455729166666667 0.4609375 0.369791666666667 0.393229166666667
"B=Meth_rhodinum" 0.502604166666667 0.497395833333333 0.497395833333333 0.479166666666667 0.46875 0.747395833333333 0.6875 0.700520833333333 1 0.627604166666667 0.630208333333333 0.622395833333333 0.627604166666667 0.629050925925926 0.630208333333333 0.6296875 0.6171875 0.629340277777778 0.630208333333333 0.627604166666667 0.627604166666667 0.4921875 0.520833333333333 0.520833333333333 0.515625 0.518229166666667 0.518229166666667 0.484375 0.45703125 0.462384259259259 0.489583333333333 0.484375 0.455729166666667 0.447916666666667 0.453125 0.416666666666667 0.416666666666667 0.416666666666667 0.421875 0.416666666666667 0.4296875 0.434895833333333 0.436197916666667 0.432291666666667 0.4375 0.4296875 0.430989583333333 0.434895833333333 0.424479166666667 0.4296875 0.4296875 0.4296875 0.434895833333333 0.434895833333333 0.427083333333333 0.434895833333333 0.434895833333333 0.4296875 0.436197916666667 0.4375 0.4375 0.4375 0.466145833333333 0.448784722222222 0.497395833333333 0.494791666666667 0.49609375 0.497395833333333 0.497395833333333 0.496354166666667 0.494791666666667 0.502604166666667 0.486979166666667 0.486979166666667 0.4875 0.484375 0.489583333333333 0.479166666666667 0.479166666666667 0.479166666666667 0.484375 0.479166666666667 0.481770833333333 0.479166666666667 0.48046875 0.419270833333333 0.419270833333333 0.427083333333333 0.40625 0.4296875 0.427083333333333 0.424479166666667 0.4140625 0.416666666666667 0.408854166666667 0.419270833333333 0.421875 0.416666666666667 0.427083333333333 0.421875 0.424479166666667 0.424479166666667 0.415364583333333 0.411458333333333 0.4453125 0.455729166666667 0.455729166666667 0.463541666666667 0.458333333333333 0.450520833333333 0.453125 0.463541666666667 0.4609375 0.4609375 0.458333333333333 0.458333333333333 0.4609375 0.4609375 0.4453125 0.450520833333333 0.453125 0.4609375 0.361979166666667 0.388020833333333
"B=Meth_zatmanii" 0.5390625 0.53125 0.5234375 0.505208333333333 0.4921875 0.6328125 0.6171875 0.619791666666667 0.627604166666667 1 0.901041666666667 0.932291666666667 0.942708333333333 0.935185185185185 0.934895833333333 0.9546875 0.921875 0.947916666666667 0.947916666666667 0.940104166666667 0.950520833333333 0.520833333333333 0.552083333333333 0.549479166666667 0.544270833333333 0.549479166666667 0.549479166666667 0.5 0.483072916666667 0.488425925925926 0.5 0.497395833333333 0.473958333333333 0.463541666666667 0.470052083333333 0.427083333333333 0.424479166666667 0.424479166666667 0.4296875 0.424479166666667 0.4453125 0.450520833333333 0.451171875 0.447916666666667 0.453125 0.444010416666667 0.444010416666667 0.447916666666667 0.4375 0.4453125 0.4453125 0.4453125 0.450520833333333 0.450520833333333 0.442708333333333 0.450520833333333 0.450520833333333 0.4453125 0.451822916666667 0.453125 0.452752976190476 0.452799479166667 0.4921875 0.485243055555556 0.5234375 0.518229166666667 0.51953125 0.520833333333333 0.520833333333333 0.5203125 0.518229166666667 0.5390625 0.518229166666667 0.5234375 0.51875 0.515625 0.520833333333333 0.510416666666667 0.505208333333333 0.513020833333333 0.518229166666667 0.513020833333333 0.515625 0.513020833333333 0.514322916666667 0.4453125 0.447916666666667 0.455729166666667 0.424479166666667 0.450520833333333 0.4375 0.440104166666667 0.4296875 0.442708333333333 0.427083333333333 0.442708333333333 0.4375 0.432291666666667 0.450520833333333 0.440104166666667 0.447916666666667 0.450520833333333 0.439453125 0.432291666666667 0.466145833333333 0.479166666666667 0.479166666666667 0.486979166666667 0.481770833333333 0.473958333333333 0.473958333333333 0.486979166666667 0.484375 0.486979166666667 0.481770833333333 0.481770833333333 0.484375 0.484375 0.466145833333333 0.473958333333333 0.4765625 0.484375 0.377604166666667 0.403645833333333
