"A" "B" "C" "D" "Micr" "Meth" "All"
"P>=0.8" 1550 1717 1624 1529 1177 1325 1251
"P>=0.81" 1528 1668 1545 1507 1177 1301 1216
"P>=0.82" 1505 1668 1545 1507 1088 1294 1205
"P>=0.83" 1488 1627 1545 1507 1088 1280 1183
"P>=0.84" 1468 1627 1452 1488 1088 1260 1165
"P>=0.85" 1468 1627 1452 1488 1088 1234 1150
"P>=0.86" 1443 1551 1452 1463 1088 1212 1122
"P>=0.87" 1429 1551 1452 1463 1002 1191 1098
"P>=0.88" 1409 1470 1452 1463 1002 1164 1051
"P>=0.89" 1378 1470 1332 1415 1002 1134 998
"P>=0.9" 1378 1470 1332 1415 1002 1114 942
"P>=0.91" 1334 1400 1332 1358 877 1105 873
"P>=0.92" 1295 1400 1332 1358 877 1081 849
"P>=0.93" 1243 1300 1127 1298 877 1062 826
"P>=0.94" 1178 1300 1127 1298 877 1027 777
"P>=0.95" 1178 1300 1127 1298 877 995 742
"P>=0.96" 1099 1137 1127 1223 729 937 712
"P>=0.97" 999 1137 745 1223 729 862 629
"P>=0.98" 831 797 745 993 729 722 541
"P>=0.99" 475 797 745 993 729 425 387
"P>=1" 475 797 745 993 729 198 122
