Strain	Short-name	Species	C	Grp_Leducq1	Grp_Alessa	Group_Leducq2	Biome	Annotation	SVDq	Astral	GeneContent	Synteny	Long-Name
LMG23639T	st137	Meth_jeotgali	136	-	A	A	Anthropo/Food	6666666.879406.txt	76	1	48	90	M._jeotgali_LMG23639T
YIM48816_(KCTC22810T)	st209	Meth_soli	208	A5	A2	A	Soil	6666666.673184.txt	78	2	2	88	M._soli_YIM48816_(KCTC22810T)
YIM132548_(NBRC114056T)	st208	Meth_planium	207	A5	A2	A	Lichen	6666666.673182.txt	77	3	1	89	M._planium_YIM132548_(NBRC114056T)
NBRC107715_(DSM24028T)	st159	Meth_oxalidis	158	A5	A2	A	Phyllosphere	6666666.673143.txt	79	4	3	87	M._oxalidis_NBRC107715_(DSM24028T)
17SD2-17_(KCTC52908T)	st7	Meth_durans	6	A5	A2	A	Anthropo/Soil	6666666.673108.txt	81	5	4	86	M._durans_17SD2-17_(KCTC52908T)
17J42-1_(KCTC62267T)	st5	Meth_segetis	4	A5	A2	A	Soil	6666666.673131.txt	80	6	5	85	M._segetis_17J42-1_(KCTC62267T)
DSM23632	st147	Meth_trifolii	146	-	A	A	Phyllosphere	6666666.879416.txt	62	7	96	84	M._trifolii_DSM23632
WL120	st195	Meth_sp	194	A6	-	A	Phyllosphere	6666666.673151.txt	65	8	161	164	M._sp._WL120
WL12	st194	Meth_sp	193	A6	-	A	Phyllosphere	6666666.673153.txt	66	9	164	162	M._sp._WL12
WL8	st202	Meth_sp	201	A6	-	A	Phyllosphere	6666666.673174.txt	64	10	162	163	M._sp._WL8
DSM23679T	st130	Meth_cerastii	129	-	A	A	Phyllosphere	6666666.879398.txt	63	11	163	161	M._cerastii_DSM23679T
E-025	st62	Meth_sp	61	A6	-	A	Phyllosphere	6666666.688747.txt	73	12	158	160	M._sp._E-025
J-059	st80	Meth_sp	79	A6	-	A	Phyllosphere	6666666.688744.txt	75	13	159	159	M._sp._J-059
J-092	st90	Meth_sp	89	A6	-	A	Phyllosphere	6666666.688745.txt	71	14	157	154	M._sp._J-092
E-041	st63	Meth_sp	62	A6	-	A	Phyllosphere	6666666.688742.txt	72	15	160	157	M._sp._E-041
WL6	st199	Meth_sp	198	A6	-	A	Phyllosphere	6666666.673178.txt	70	16	152	152	M._sp._WL6
E-016	st61	Meth_sp	60	A6	-	A	Phyllosphere	6666666.688743.txt	74	17	156	153	M._sp._E-016
WL119	st193	Meth_sp	192	A6	-	A	Phyllosphere	6666666.673157.txt	67	18	155	155	M._sp._WL119
WL93	st204	Meth_sp	203	A6	-	A	Phyllosphere	6666666.673161.txt	69	19	154	158	M._sp._WL93
WL30	st198	Meth_sp	197	A6	-	A	Phyllosphere	6666666.673165.txt	68	20	153	156	M._sp._WL30
SB0023/3	st180	Meth_symbioticum	179	A8	-	A	Fungus	6666666.673232.txt	56	21	90	147	M._symbioticum_SB0023/3
SW08-7_(DSM22415T)	st182	Meth_dankookense	181	A8	A5	A	Anthropo/Water	6666666.673234.txt	57	22	91	146	M._dankookense_SW08-7_(DSM22415T)
17Sr1-43	st11	Meth_radiodurans	10	A7	-	A	Anthropo/Soil	6666666.673110.txt	58	23	95	148	M._radiodurans_17Sr1-43
NBRC103626T_(002-074,DSM19564)	st133	Meth_gregans	132	-	A5	A	Anthropo/Water	6666666.879401.txt	59	24	92	149	M._gregans_NBRC103626T_(002-074,DSM19564)
DSM16372T	st134	Meth_hispanicum	133	-	A5	A	Anthropo/Water	6666666.879403.txt	60	25	93	150	M._hispanicum_DSM16372T
CCH5-D2	st39	Meth_sp	38	A7	-	A	Anthropo/Water	6666666.673082.txt	61	26	94	151	M._sp._CCH5-D2
DSM19013T	st126	Meth_aerolatum	125	-	A3	A	Air	6666666.879395.txt	51	27	98	91	M._aerolatum_DSM19013T
NBRC103628T	st143	Meth_persicinum	142	-	A3	A	Anthropo/Water	6666666.879412.txt	54	28	99	92	M._persicinum_NBRC103628T
J-076	st85	Meth_sp	84	A10	-	A	Phyllosphere	6666666.688751.txt	55	29	100	95	M._sp._J-076
J-067	st81	Meth_sp	80	A10	-	A	Phyllosphere	6666666.688749.txt	53	30	101	94	M._sp._J-067
NBRC103627T_(DSM19563T)	st138	Meth_komagatae	137	-	A3	A	Anthropo/Water	6666666.879407.txt	52	31	97	93	M._komagatae_NBRC103627T_(DSM19563T)
NBRC15688T	st141	Meth_mesophilicum	140	-	A4	A	Phyllosphere	6666666.879410.txt	39	32	104	130	M._mesophilicum_NBRC15688T
WL64	st200	Meth_sp	199	A9	-	A	Phyllosphere	6666666.673163.txt	38	33	109	132	M._sp._WL64
WL2	st197	Meth_sp	196	A9	-	A	Phyllosphere	6666666.673180.txt	37	34	110	131	M._sp._WL2
ARG-1	st23	Meth_sp	22	A9	-	A	Fungus	6666666.673036.txt	43	35	105	125	M._sp._ARG-1
GXF4	st72	Meth_sp	71	A9	-	A	Endophyte	6666666.673023.txt	42	36	106	127	M._sp._GXF4
TX0642_(NBRC103629T)	st186	Meth_brachiatum	185	A9	A4	A	Anthropo	6666666.673122.txt	40	37	107	122	M._brachiatum_TX0642_(NBRC103629T)
111MFTsu3.1M4	st2	Meth_brachiatum	1	A9	-	A	Plant	6666666.673222.txt	41	38	108	121	M._brachiatum_111MFTsu3.1M4
J-048	st79	Meth_sp	78	A9	-	A	Phyllosphere	6666666.688739.txt	49	39	112	128	M._sp._J-048
J-077	st86	Meth_sp	85	A9	-	A	Phyllosphere	6666666.688736.txt	50	40	111	134	M._sp._J-077
GXS13	st73	Meth_sp	72	A9	-	A	Endophyte	6666666.673070.txt	44	41	103	123	M._sp._GXS13
J-001	st75	Meth_sp	74	A9	-	A	Phyllosphere	6666666.688740.txt	45	42	102	124	M._sp._J-001
BL36_(NBRC105203T)	st29	Meth_pseudosasicola	28	A9	A4	A	Phyllosphere	6666666.673224.txt	48	43	115	135	M._pseudosasicola_BL36_(NBRC105203T)
E-066	st67	Meth_sp	66	A9	-	A	Phyllosphere	6666666.688735.txt	46	44	114	136	M._sp._E-066
J-072	st84	Meth_sp	83	A9	-	A	Phyllosphere	6666666.688737.txt	47	45	113	133	M._sp._J-072
J-026	st76	Meth_sp	75	A9	-	A	Phyllosphere	6666666.688741.txt	29	46	151	126	M._sp._J-026
J-088	st88	Meth_sp	87	A9	-	A	Phyllosphere	6666666.688738.txt	31	47	148	143	M._sp._J-088
E-065	st66	Meth_sp	65	A9	-	A	Phyllosphere	6666666.688731.txt	30	48	147	144	M._sp._E-065
J-030	st77	Meth_sp	76	A9	-	A	Phyllosphere	6666666.688732.txt	35	49	150	141	M._sp._J-030
2A	st15	Meth_sp	14	A9	-	A	Rhizhosphere	6666666.673189.txt	32	50	145	145	M._sp._2A
BL47	st30	Meth_phyllostachyos	29	A9	-	A	Phyllosphere	6666666.673204.txt	34	51	146	138	M._phyllostachyos_BL47
E-005	st60	Meth_sp	59	A9	-	A	Phyllosphere	6666666.688734.txt	33	52	149	142	M._sp._E-005
J-070	st83	Meth_sp	82	A9	-	A	Phyllosphere	6666666.688730.txt	36	53	116	129	M._sp._J-070
DSM23933T	st139	Meth_longum	138	-	A4	A	Phyllosphere	6666666.879408.txt	27	54	118	140	M._longum_DSM23933T
E-046	st65	Meth_sp	64	A9	-	A	Phyllosphere	6666666.688733.txt	28	55	119	139	M._sp._E-046
NBRC103632T_(DSM19566)	st144	Meth_tardum	143	-	A4	A	Anthropo/Water	6666666.879413.txt	26	56	117	137	M._tardum_NBRC103632T_(DSM19566)
