Genome-file	Species	Strain	Biome	Anno_File	Alias	Exclude?		
GCF_019216885.1_ASM1921688v2_genomic.fna.gz	Methylobacterium sp.	SyP6R	Algae	6666666.974091.txt	na	no		
GCF_021398735.1_ASM2139873v1_genomic.fna.gz	Methylobacterium oryzae	H33R-06	na	6666666.974092.txt	CBMB20	yes		
GCF_021484845.1_ASM2148484v1_genomic.fna.gz	Methylobacterium radiotolerans	NYY1	na	6666666.974093.txt	NBRC15690	yes		
GCF_022214735.1_ASM2221473v1_genomic.fna.gz	Methylorubrum extorquens	BF19-02	Soil	6666666.974094.txt	na	no		
GCF_022533465.1_ASM2253346v1_genomic.fna.gz	Methylobacterium organophilum	WPA_B	Anthropo/Space	6666666.974095.txt	na	no		
GCF_022803065.1_ASM2280306v1_genomic.fna.gz	Methylobacterium goesingense	DSM102624	na	6666666.974096.txt	Leaf104	yes		
GCF_023093475.1_ASM2309347v1_genomic.fna.gz	Methylobacterium sp.	37f	Soil	6666666.974097.txt	na	no		
GCF_024169825.1_ASM2416982v1_genomic.fna.gz	Methylorubrum extorquens	SLI_231	Phyllosphere	6666666.974098.txt	na	no		
GCF_024169855.1_ASM2416985v1_genomic.fna.gz	Methylorubrum extorquens	SLI_516	Phyllosphere	6666666.974100.txt	na	no		
GCF_024169885.1_ASM2416988v1_genomic.fna.gz	Methylorubrum extorquens	SLI_575	Phyllosphere	6666666.974101.txt	na	no		
GCF_024169925.1_ASM2416992v1_genomic.fna.gz	Methylorubrum extorquens	SLI_576	Phyllosphere	6666666.974103.txt	na	no		
GCF_024169945.1_ASM2416994v1_genomic.fna.gz	Methylorubrum extorquens	SLI_716	Phyllosphere	6666666.974104.txt	na	no		
GCF_024169965.1_ASM2416996v1_genomic.fna.gz	Methylorubrum extorquens	TLI_802	Phyllosphere	6666666.974105.txt	na	no		
GCF_024169985.1_ASM2416998v1_genomic.fna.gz	Methylorubrum extorquens	TLI_801	Phyllosphere	6666666.974106.txt	na	no		
GCF_024347855.1_ASM2434785v1_genomic.fna.gz	Methylorubrum sp. 	GM97	Phyllosphere	6666666.974107.txt	na	no		
GCF_025813715.1_ASM2581371v1_genomic.fna.gz	Methylobacterium sp.	FF17	Water	6666666.974108.txt	na	no		
GCF_026122595.1_ASM2612259v1_genomic.fna.gz	Methylorubrum extorquens	NBC_00404	Soil	6666666.974109.txt	na	no		
GCF_026122615.1_ASM2612261v1_genomic.fna.gz	Methylorubrum extorquens	NBC_00036	Soil	6666666.974110.txt	na	no		
GCF_026540775.1_ASM2654077v1_genomic.fna.gz	Methylobacterium sp.	GC_Met_3	Seed	6666666.974111.txt	na	no		
GCF_026540795.1_ASM2654079v1_genomic.fna.gz	Methylobacterium sp.	GC_Met_2	Seed	6666666.974112.txt	na	no		
GCF_026540815.1_ASM2654081v1_genomic.fna.gz	Methylobacterium sp.	GC_Met_1	Seed	6666666.974113.txt	na	no		
