Order.ASTRAL	Order.SVDq	Group	Species	Strains
1	1	B	Meth_gnaphalii	st160
2	2	B	Meth_brachythecii	st55
3	3	B	Meth_thuringiense	st146_st203
4	4	B	Meth_haplocladii	st158
5	5	B	Meth_organophilum	st142
6	6	B	Meth_suomiense	st94_st155
7	8	B	Meth_salsuginis	st41
8	7	B	Meth_sp_038	st108
9	9	B	Meth_rhodinum	st54
10	10	B	Meth_zatmanii	st156
11	11	B	Meth_sp_035	st26
12	13	B	Meth_sp_036	st78
13	14	B	Meth_sp_037	st104
14	15	B	Meth_extorquens	st20_st44_st49_st153_st162_st170_st174_st175_st178
15	16	B	Meth_sp_040	st21_st176
16	18	B	Meth_thiocyanatum	st27_st40_st50_st171_st207
17	17	B	Meth_podarium	st154
18	19	B	Meth_rhodesianum	st46_st58_st149
19	20	B	Meth_sp_041	st168
20	21	B	Meth_aminovorans	st43_st48_st152_st163
21	12	B	Meth_sp_039	st177
22	22	A	Meth_jeotgali	st137
23	23	A	Meth_planium	st208
24	24	A	Meth_soli	st209
25	25	A	Meth_oxalidis	st159
26	26	A	Meth_durans	st7
27	27	A	Meth_segetis	st5
28	28	A	Meth_trifolii	st147
29	29	A	Meth_cerastii	st130_st194_st195_st202
30	30	A	Meth_sp_018	st61_st62_st63_st80_st90_st193_st198_st199_st204
31	31	A	Meth_dankookense	st182
32	32	A	Meth_symbioticum	st180
33	33	A	Meth_radiodurans	st11
34	34	A	Meth_gregans	st133
35	35	A	Meth_hispanicum	st39_st134
36	36	A	Meth_aerolatum	st126
37	37	A	Meth_sp_034	st85
38	38	A	Meth_persicinum	st143
39	40	A	Meth_komagatae	st138
40	39	A	Meth_sp_033	st81
41	41	A	Meth_mesophilicum	st141
42	42	A	Meth_sp_032	st197_st200
43	43	A	Meth_brachiatum	st2_st23_st72_st186
44	47	A	Meth_sp_024	st79
45	46	A	Meth_sp_026	st86
46	44	A	Meth_sp_030	st73_st75
47	45	A	Meth_sp_029	st67_st84
48	48	A	Meth_pseudosasicola	st29
49	55	A	Meth_sp_022	st76
50	53	A	Meth_sp_027	st88
51	54	A	Meth_sp_021	st66
52	51	A	Meth_sp_023	st77
53	50	A	Meth_sp_019	st15
54	52	A	Meth_phyllostachyos	st30
55	49	A	Meth_sp_020	st60
56	57	A	Meth_longum	st65_st139
57	56	A	Meth_sp_025	st83
58	58	A	Meth_tardum	st144
59	60	A	Meth_sp_031	st169_st188
60	59	A	Meth_fujisawaense	st36_st37_st57_st189_st190_st206_st210_st211
61	62	A	Meth_radiotolerans	st34_st59_st68_st91_st150_st161_st179
62	61	A	Meth_sp_028	st3_st12_st13_st14_st28_st106_st187_st213
63	64	D	Meth_iners	st135
64	63	D	Meth_sp_017	st99_st107_st110
65	66	D	Meth_marchantiae	st140
66	65	D	Meth_sp_013	st18
67	67	D	Meth_sp_016	st113_st117
68	68	D	Meth_sp_012	st1
69	69	D	Meth_sp_014	st64
70	71	D	Meth_bullatum	st19_st98_st112_st129_st196
71	70	D	Meth_sp_015	st118
72	77	D	Meth_sp_001	st33
73	75	D	Meth_adhaesivum	st125
74	76	D	Meth_gossipiicola	st69
75	74	D	Meth_sp_007	st95_st96_st101_st111_st114
76	73	D	Meth_sp_011	st120_st201
77	72	D	Meth_sp_004	st89
78	80	D	Meth_sp_002	st82
79	78	D	Meth_goesingense	st132
80	79	D	Meth_sp_003	st87
81	81	D	Meth_sp_009	st102_st103
82	82	D	Meth_sp_005	st97
83	83	D	Meth_sp_006	st70_st71
84	84	D	Meth_sp_008	st100_st109_st115_st116_st119
85	85	D	Meth_sp_010	st105_st191
86	88	C	Meth_isbiliense	st136
87	86	C	Meth_nodulans	st167
88	87	C	Meth_sp_044	st16
89	89	C	Meth_oryzihabitans	st185
90	90	C	Meth_crusticola	st151
91	91	C	Meth_variabile	st148
92	94	C	Meth_nonmethylotrophicum	st17
93	99	C	Meth_aquaticum	st128
94	100	C	Meth_tarhaniae	st145
95	102	C	Meth_frigidaeris	st131
96	101	C	Meth_currus	st173
97	104	C	Meth_sp_043	st8
98	103	C	Meth_sp_042	st4
99	98	C	Meth_terricola	st10
100	97	C	Meth_sp_045	st45
101	95	C	Meth_platani	st172
102	96	C	Meth_terrae	st9
103	92	C	Meth_ajmalii	st22_st123_st127_st212
104	93	C	Meth_indicum	st164_st165_st166_st181
105	107	Microvirga	Micr_sp_001	st6
106	108	Microvirga	Micr_sp_005	st74
107	109	Microvirga	Micr_sp_003	st35
108	110	Microvirga	Micr_aerophila	st53_st157
109	111	Microvirga	Micr_subterranea	st51
110	113	Microvirga	Micr_makkahensis	st92
111	112	Microvirga	Micr_guangxiensis	st42
112	114	Microvirga	Micr_sp_006	st93
113	115	Microvirga	Micr_vignae	st31
114	116	Microvirga	Micr_flocculans	st25_st52
115	119	Microvirga	Micr_sp_008	st183_st184
116	117	Microvirga	Micr_lupini	st24
117	118	Microvirga	Micr_sp_002	st32
118	121	Microvirga	Micr_tunisiensis	st121_st122
119	122	Microvirga	Micr_sp_004	st38
120	124	Microvirga	Micr_sp_007	st124
121	123	Microvirga	Micr_lotononidis	st205
122	120	Microvirga	Micr_ossetica	st192
123	105	Enterovirga	Ente_rhinocerotis	st56
124	106	Enterovirga	Ente_sp_001	st47
