"Contig" "flag" "cov" "len" "GC"
"1" "k141_4" "0" "207" "1034" "0.725338491295938"
"2" "k141_6589" "0" "323.0475" "710" "0.645070422535211"
"3" "k141_7530" "0" "45.4821" "309" "0.679611650485437"
"4" "k141_7536" "1" "27" "323" "0.678018575851393"
"5" "k141_10" "0" "394" "924" "0.707792207792208"
"6" "k141_19" "0" "204.1057" "10178" "0.716250736883474"
"7" "k141_7589" "0" "196.5446" "2675" "0.637383177570093"
"8" "k141_6661" "0" "189.4363" "7556" "0.650608787718369"
"9" "k141_7608" "0" "163.0588" "3951" "0.719058466211086"
"10" "k141_6668" "0" "53.9524" "981" "0.625891946992864"
"11" "k141_7611" "0" "192" "773" "0.702457956015524"
"12" "k141_6682" "0" "161" "509" "0.666011787819253"
"13" "k141_7629" "0" "320.9026" "1065" "0.652582159624413"
"14" "k141_4742" "0" "191.6306" "22890" "0.711402359108781"
"15" "k141_1891" "0" "191.8789" "34835" "0.707765178699584"
"16" "k141_1904" "0" "40.5347" "1020" "0.640196078431372"
"17" "k141_945" "0" "205.8805" "39600" "0.724393939393939"
"18" "k141_40" "0" "194.5614" "24156" "0.717875476072197"
"19" "k141_44" "0" "193.7943" "2086" "0.671140939597315"
"20" "k141_946" "0" "161.7496" "6084" "0.623438527284681"
"21" "k141_1938" "0" "90.0373" "1161" "0.733850129198966"
"22" "k141_1943" "0" "274" "483" "0.670807453416149"
"23" "k141_7652" "0" "190.9615" "14964" "0.703221063886661"
"24" "k141_59" "0" "188.1272" "1226" "0.691680261011419"
"25" "k141_6683" "0" "181.6489" "22821" "0.728057490907497"
"26" "k141_3796" "0" "194.8155" "46530" "0.698581560283688"
"27" "k141_71" "0" "97.8541" "2108" "0.676944971537002"
"28" "k141_984" "0" "139.1786" "309" "0.6957928802589"
"29" "k141_72" "0" "199.3439" "1153" "0.660884648742411"
"30" "k141_6691" "0" "191.4656" "5094" "0.654102866117"
"31" "k141_7669" "0" "161.1764" "5647" "0.637683725872145"
"32" "k141_1964" "0" "228.1129" "11450" "0.633275109170306"
"33" "k141_7704" "0" "171.0433" "3487" "0.674218525953542"
"34" "k141_130" "0" "834" "3132" "0.582694763729246"
"35" "k141_7705" "0" "364.4667" "801" "0.626716604244694"
"36" "k141_1977" "0" "187.6117" "3623" "0.643113441898979"
"37" "k141_1981" "0" "167.3291" "4124" "0.673375363724539"
"38" "k141_8492" "0" "212.5284" "68955" "0.660604742223189"
"39" "k141_151" "0" "266.182" "3646" "0.65907844212836"
"40" "k141_156" "0" "109.6739" "1159" "0.639344262295082"
"41" "k141_1990" "0" "225.3505" "7762" "0.665034784849266"
"42" "k141_189" "1" "17" "414" "0.710144927536232"
"43" "k141_1991" "0" "191.3967" "3403" "0.661769027328827"
"44" "k141_8515" "0" "201.4904" "8818" "0.661601270129281"
"45" "k141_5710" "0" "201.8882" "81070" "0.705797458986061"
"46" "k141_3798" "0" "193.7973" "42038" "0.722275084447405"
"47" "k141_2052" "1" "41" "362" "0.743093922651934"
"48" "k141_1041" "0" "182.8386" "36524" "0.730861899025298"
"49" "k141_8559" "0" "222.9813" "4957" "0.661488803711923"
"50" "k141_223" "0" "176.783" "14673" "0.728617188032441"
"51" "k141_8574" "0" "178.8343" "2917" "0.632499142955091"
"52" "k141_8575" "0" "135.5741" "2489" "0.670952189634391"
"53" "k141_4765" "0" "204.6347" "84648" "0.685544844532653"
"54" "k141_227" "0" "203.2605" "12220" "0.625531914893617"
"55" "k141_4775" "0" "112.7636" "801" "0.702871410736579"
"56" "k141_236" "0" "337" "2072" "0.672297297297297"
"57" "k141_4804" "0" "194.7315" "2793" "0.669889008234873"
"58" "k141_4805" "0" "183.0972" "1848" "0.676406926406926"
"59" "k141_4807" "0" "314.492" "2129" "0.640676373884453"
"60" "k141_2109" "0" "187.8943" "39067" "0.719174751068677"
"61" "k141_3801" "0" "211.3656" "55521" "0.689234703985879"
"62" "k141_2132" "0" "453.8423" "2361" "0.619652689538331"
"63" "k141_7714" "1" "200.4179" "92122" "0.714096524174464"
"64" "k141_239" "0" "207.0713" "40329" "0.671105160058519"
"65" "k141_7718" "0" "117.3528" "2417" "0.634671079851055"
"66" "k141_6698" "0" "190.2463" "107023" "0.699204843818618"
"67" "k141_240" "0" "204.3291" "6030" "0.638308457711443"
"68" "k141_7744" "0" "110.0498" "1206" "0.662520729684909"
"69" "k141_277" "1" "14.8871" "637" "0.63265306122449"
"70" "k141_293" "0" "276.3361" "2304" "0.690538194444444"
"71" "k141_2184" "0" "187.7699" "22087" "0.721193462217594"
"72" "k141_307" "0" "156.7404" "4186" "0.658385093167702"
"73" "k141_5729" "0" "205.9046" "94673" "0.692140314556421"
"74" "k141_7750" "0" "203.1655" "22020" "0.719482288828338"
"75" "k141_4830" "1" "200.5999" "57098" "0.696451714595958"
"76" "k141_6700" "0" "209.6917" "29966" "0.658346125609024"
