"Strain" "Contigs" "Size" "Mean.cov" "Contigs(cov>10)" "Size(cov>10)" "Mean.cov(cov>10)" "Med.cov(cov>10)" "Max.size" "Mean.GC" "Median.GC" "sd.GC"
"J-092" "9325" "8609904" "159.443180123855" "227" "5656301" "159.095454853097" "232.7635" "214931" "0.697388982658455" "0.7063656483381" "0.0284154184812443"
"J-090" "7050" "7274763" "169.27810243054" "119" "5037361" "168.967310127959" "236.6667" "428343" "0.689611286544681" "0.692371646572051" "0.0195340946403172"
"J-088" "16945" "11819397" "88.3571610649173" "286" "6407778" "87.8941902522015" "153.89325" "295693" "0.680855828650743" "0.684605317001079" "0.0195696669056565"
"J-078" "12667" "9590577" "166.041359381641" "146" "5537066" "165.616488838982" "274.96355" "306639" "0.692562631545299" "0.695947537453219" "0.0206802546049348"
"J-077" "10286" "10790325" "131.669107541033" "260" "6617678" "130.986470990346" "206.74945" "406903" "0.684473013041735" "0.690802109691778" "0.0211571936522683"
"J-076" "10596" "8668875" "182.415359261081" "150" "5241477" "182.014786863105" "285.90715" "639467" "0.702622371518563" "0.707048579479248" "0.0239193478579061"
"J-072" "9681" "9610104" "138.0318101409" "233" "6533291" "137.705619779588" "191.0711" "298855" "0.685048928633364" "0.691339293036988" "0.0208499418221265"
"J-070" "9222" "9905111" "140.294161101991" "312" "7045618" "140.002211782967" "191.88885" "418987" "0.69652882117651" "0.699536009451872" "0.0235633576608249"
"J-068" "10875" "8587541" "179.745051861505" "128" "5113311" "179.338103539663" "285.0039" "563432" "0.693118411925267" "0.69714291568067" "0.0192766720749336"
"J-067" "13585" "9737666" "111.741596913665" "147" "5358757" "111.273524049531" "194" "686543" "0.69081617248179" "0.693207258731003" "0.0177444257595935"
"J-059" "9148" "12392065" "113.608254369768" "265" "9519877" "113.374241841485" "199.9679" "341485" "0.709342042969673" "0.715400705296639" "0.0256079824129686"
"J-048" "23993" "14234916" "85.2104648719037" "311" "6321224" "84.6437313590259" "181.3961" "309408" "0.684673094957559" "0.690356637054204" "0.0204293175519544"
"J-043" "15099" "10131467" "108.891069803494" "82" "5284444" "108.410127636876" "203.18045" "689118" "0.684354304823743" "0.687223542314019" "0.0138044072935769"
"J-030" "24385" "14715150" "91.573618279868" "411" "6924820" "91.0375586437583" "185" "313511" "0.686841390823155" "0.692112538350022" "0.0242578920708017"
"J-026" "22668" "13463203" "125.262934409665" "354" "6150436" "124.715735582632" "258.817" "198202" "0.694442312707587" "0.700346111542769" "0.0272858295888712"
"J-001" "15608" "11260602" "121.016753844457" "228" "6242404" "120.567528258809" "205.9156" "403854" "0.680703299562156" "0.685170878584835" "0.0233481975639946"
"E-066" "10710" "10052599" "140.005123039455" "218" "6664237" "139.662291684807" "201.9389" "333444" "0.684378121606419" "0.688379909407588" "0.0201658161214604"
"E-065" "19292" "13193422" "113.806565655112" "305" "6992789" "113.328602075587" "196.6784" "396366" "0.678269714701816" "0.685323176105862" "0.0222563560548166"
"E-046" "11864" "10521039" "102.062559369022" "298" "6817744" "101.704544184667" "154.26295" "405237" "0.695336463205424" "0.699769588062467" "0.0249472135704895"
"E-045" "18017" "11388189" "126.970163554846" "135" "5590603" "126.459601815662" "251.7928" "458453" "0.670086750928299" "0.673100623182747" "0.0188003387844804"
"E-041" "8847" "8774698" "137.466783053252" "305" "5981163" "137.143814920741" "192.828" "285689" "0.694139751750621" "0.70446986001672" "0.033635826924505"
"E-025" "13462" "16150778" "69.8949409391176" "283" "11911435" "69.6289204574479" "150.9389" "1299464" "0.651582449973492" "0.622947586410927" "0.0486341672170727"
"E-016" "21935" "17059833" "92.3482044406414" "297" "10105514" "91.9379848975485" "183" "1347391" "0.686897272122922" "0.683512070972856" "0.0269836735514798"
"E-005" "13627" "11062605" "130.188505097525" "261" "6725083" "129.793137065935" "203.1276" "458685" "0.684299955851846" "0.689334863898455" "0.0209614170903461"
