"Strain" "Strain-simp" "annotation-file" "scaffolds" "genome-size" "max-scaffold-size" "annotations" "hypothetical-protein" "repeat-region" "Mobile-element-protein" "other-annotations-unique" "other-annotations-sum" "other-annotations-mean-copy-number" "other-annotations-sd-copy-number" "GC-content"
"NS228" "st164" "6666666.673074.txt" "487" "6297070" "146306" "6902" "2514" "279" "21" "2763" "4088" "1.47955121245024" "2.11162043362952" "0.712413691824168"
"NS229" "st165" "6666666.673072.txt" "443" "6329904" "116579" "6883" "2486" "267" "13" "2770" "4117" "1.48628158844765" "2.10949620780943" "0.712974051404661"
"NS230" "st166" "6666666.673076.txt" "383" "6327043" "108831" "6806" "2468" "242" "19" "2761" "4077" "1.47663889894966" "2.08051199183806" "0.712736850554698"
"SE2.11" "st181" "6666666.673032.txt" "504" "6895870" "92579" "7465" "2895" "227" "37" "2833" "4306" "1.51994352276738" "2.19326807653927" "0.707952166039617"
"ap11" "st22" "6666666.673212.txt" "56" "6981668" "564338" "7306" "2692" "259" "64" "2826" "4291" "1.51840056617127" "2.19456635267747" "0.713660669781328"
"MA-22A" "st123" "6666666.673080.txt" "6" "7557199" "5347788" "7937" "3164" "221" "124" "2884" "4428" "1.53536754507628" "2.23159544133919" "0.709854089625116"
"yr596" "st212" "6666666.673216.txt" "84" "6569940" "511113" "6888" "2563" "211" "73" "2761" "4041" "1.46360014487505" "1.90352379322201" "0.715628085238745"
"17Sr1-28" "st9" "6666666.673112.txt" "1" "6162198" "6162198" "6347" "2245" "130" "5" "2673" "3967" "1.48410026187804" "2.18952103055376" "0.717718156666169"
"PMB02" "st172" "6666666.673086.txt" "149" "7013614" "328627" "7529" "2888" "183" "26" "2853" "4432" "1.55345250613389" "3.03446186305284" "0.715061829120516"
"DB0501" "st45" "6666666.673193.txt" "88" "7583483" "818131" "8036" "3087" "239" "75" "2958" "4635" "1.56693711967546" "2.30541308067365" "0.707351394704105"
"17Sr1-39" "st10" "6666666.673138.txt" "103" "7873274" "916167" "8366" "3253" "298" "40" "2902" "4775" "1.64541695382495" "2.69321501493643" "0.708065021266859"
"174MFSha1.1" "st4" "6666666.672890.txt" "85" "7435203" "396756" "7754" "2880" "234" "65" "2902" "4575" "1.57649896623019" "2.54409694026533" "0.710388783013568"
"17Sr1-1" "st8" "6666666.673114.txt" "1" "6542425" "6542425" "6649" "2375" "148" "34" "2739" "4092" "1.49397590361446" "2.12627743603523" "0.710379641752332"
"PR1016A" "st173" "6666666.673102.txt" "5" "7744108" "6553211" "8174" "3107" "255" "158" "2938" "4654" "1.58407079646018" "2.53647108558719" "0.704500837739657"
"6HR-1" "st17" "6666666.673134.txt" "102" "7824682" "588521" "8071" "3275" "140" "57" "2906" "4599" "1.58258774948383" "2.40328797581709" "0.7140155299157"
"ORS2060" "st167" "6666666.673022.txt" "8" "8837056" "7771829" "11083" "4837" "901" "176" "3113" "5169" "1.66045615162223" "3.29729294944042" "0.688330972541116"
"4-46" "st16" "6666666.673020.txt" "3" "7736344" "7658896" "8696" "3527" "470" "140" "3041" "4559" "1.49917790200592" "2.08205426966429" "0.71472866634775"
"TER-1" "st185" "6666666.673124.txt" "197" "6320225" "544218" "6707" "2343" "312" "23" "2771" "4029" "1.45398773006135" "2.03710024632265" "0.721287689540288"
"17J42-1" "st5" "6666666.673131.txt" "255" "5589186" "137193" "6478" "2503" "509" "19" "2473" "3447" "1.39385361908613" "1.48187356469285" "0.704887793251439"
"17SD2-17" "st7" "6666666.673108.txt" "1" "6788375" "6788375" "8021" "3581" "343" "218" "2542" "3879" "1.52596380802518" "1.9247744148548" "0.690996552271916"
"NBRC107715" "st159" "6666666.673143.txt" "343" "6258602" "225324" "7234" "3512" "71" "47" "2549" "3604" "1.41388779913692" "1.67237556199947" "0.704534024466814"
"YIM48816" "st209" "6666666.673184.txt" "111" "6638244" "447049" "7569" "3520" "196" "54" "2656" "3799" "1.43034638554217" "1.90638871204252" "0.689831672827517"
"YIM132548" "st208" "6666666.673182.txt" "80" "5867408" "411775" "6343" "2694" "92" "20" "2582" "3537" "1.36986831913246" "1.62074116375412" "0.704458052799735"
"Leaf123" "st104" "6666666.673055.txt" "39" "5433316" "794689" "5478" "1752" "106" "21" "2700" "3599" "1.33296296296296" "1.44372853819396" "0.690861860086035"
"AMS5" "st21" "6666666.673078.txt" "4" "5598694" "5435349" "5635" "1819" "123" "86" "2686" "3607" "1.34288905435592" "1.48852834737714" "0.689554422349094"
"B4" "st26" "6666666.673116.txt" "61" "5120733" "754620" "5264" "1712" "72" "29" "2568" "3451" "1.34384735202492" "1.48638579450228" "0.70066518896426"
"DB1607" "st46" "6666666.673186.txt" "201" "6045066" "476070" "6378" "2330" "100" "70" "2762" "3878" "1.40405503258508" "1.54106819865761" "0.692950071915184"
"NI91" "st163" "6666666.673195.txt" "1" "5408794" "5408794" "5411" "1668" "80" "57" "2629" "3606" "1.37162419170787" "1.58040743411348" "0.690587721659091"
"CLZ" "st43" "6666666.673196.txt" "1" "5408782" "5408782" "5413" "1665" "84" "60" "2631" "3604" "1.36982136069935" "1.57827019619022" "0.690662582563423"
"DM1" "st48" "6666666.673106.txt" "2" "5904619" "5663901" "6204" "2189" "159" "136" "2680" "3720" "1.38805970149254" "1.71640068793849" "0.687920891651355"
"Leaf456" "st108" "6666666.673064.txt" "44" "5574512" "523573" "5899" "2213" "216" "31" "2574" "3439" "1.33605283605284" "1.37383159512872" "0.699715039951118"
"L1A1" "st94" "6666666.673136.txt" "111" "5442235" "371089" "5659" "2135" "91" "26" "2553" "3407" "1.33450842146494" "1.44197185830806" "0.684998725801579"
"WL119" "st193" "6666666.673157.txt" "262" "5702844" "239031" "6732" "2908" "274" "69" "2514" "3481" "1.38464598249801" "1.61630265598246" "0.7003375901825"
