"Annotation" "Short-Name" "Core-gene" "Occurence" "Mean-abundance" "SD-abundance" "Mean-abundance-if-present" "SD-abundance-if-present"
"(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)" "Gene0510" NA "213" "1.02816901408451" "0.165845260845097" "1.02816901408451" "0.165845260845097"
"(2R)-sulfolactate sulfo-lyase subunit alpha (EC 4.4.1.24)" "Gene2987" NA "58" "0.272300469483568" "0.446192343508311" "1" "0"
"(2R)-sulfolactate sulfo-lyase subunit beta (EC 4.4.1.24)" "Gene2964" NA "59" "0.276995305164319" "0.448568356811503" "1" "0"
"(3S)-malyl-CoA thioesterase (EC 3.1.2.n2)" "Gene3511" NA "32" "0.150234741784038" "0.3581430636915" "1" "0"
"(adenine-N6-)-methyltransferase homolog" NA NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"(AF179595) Vco33" "Gene4358" NA "17" "0.07981220657277" "0.271640651988175" "1" "0"
"(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin) (EC 1.17.7.3)" "Gene0001" "Gene1" "213" "1" "0" "1" "0"
"(methyl)malonate semialdehyde dehydrogenase or ALDH family proteins" "Gene2861" NA "63" "0.389671361502347" "0.735415673100598" "1.31746031746032" "0.779275859587208"
"(R)-2-hydroxyacid dehydrogenase, similar to L-sulfolactate dehydrogenase (EC 1.1.1.272)" "Gene3925" NA "24" "0.145539906103286" "0.437015299755908" "1.29166666666667" "0.464305621487537"
"(R)-citramalate synthase (EC 2.3.1.182)" "Gene3696" NA "27" "0.126760563380282" "0.333488315463412" "1" "0"
"(S)-2-haloacid dehalogenase I (EC 3.8.1.2) (2-haloalkanoic acid dehalogenase I) (L-2-haloacid dehalogenase I) (Halocarboxylic acid halidohydrolase I) (DEHCI)" "Gene3654" NA "35" "0.164319248826291" "0.371437964874858" "1" "0"
"(Y14336) putative extracellular protein containing predicted 35aa signal peptide" "Gene4442" NA "18" "0.0892018779342723" "0.301764967889769" "1.05555555555556" "0.235702260395516"
"[4Fe-4S] cluster assembly scaffold protein Mrp (=ApbC)" "Gene5013" NA "9" "0.0422535211267606" "0.201640890276281" "1" "0"
"[Genomic island nu Sa beta2]" "Gene7911" NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"[NiFe] hydrogenase HoxFUYH(E) maturation factor HoxW" NA NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"[NiFe] hydrogenase metallocenter assembly protein HypC" NA NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"[NiFe] hydrogenase metallocenter assembly protein HypD" NA NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"[NiFe] hydrogenase metallocenter assembly protein HypE" NA NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"[NiFe] hydrogenase nickel incorporation-associated protein HypB" NA NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"[Protein-PII] uridylyltransferase (EC 2.7.7.59) / [Protein-PII]-UMP uridylyl-removing enzyme" "Gene0002" "Gene2" "213" "1.0093896713615" "0.0966715079992743" "1.0093896713615" "0.0966715079992743"
"1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)" "Gene5368" NA "7" "0.0328638497652582" "0.17870014216457" "1" "0"
"1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7)" "Gene2168" NA "125" "0.591549295774648" "0.502187614025979" "1.008" "0.0894427190999916"
"1-carboxy-3-chloro-3,4-dihydroxycyclo hexa-1,5-diene dehydrogenase (EC 1.-.-.-)" "Gene5369" NA "7" "0.0328638497652582" "0.17870014216457" "1" "0"
"1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)" "Gene0398" "Gene398" "213" "1.01408450704225" "0.118117036596368" "1.01408450704225" "0.118117036596368"
"1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)" "Gene1021" NA "212" "2.98591549295775" "1.60329517180063" "3" "1.59382695428004"
"1-phosphofructokinase (EC 2.7.1.56)" "Gene2452" NA "102" "0.483568075117371" "0.510237126999248" "1.00980392156863" "0.0990147542976674"
"1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22)" "Gene2453" NA "94" "0.446009389671362" "0.507626310990212" "1.01063829787234" "0.103142124625879"
"1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate dehydrogenase (EC 1.3.1.25)" "Gene4359" NA "19" "0.0892018779342723" "0.285706376515055" "1" "0"
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)" "Gene3330" NA "39" "0.192488262910798" "0.418375007938155" "1.05128205128205" "0.223455865030959"
"1,2-phenylacetyl-CoA epoxidase, subunit A (EC 1.14.13.149)" "Gene3300" NA "42" "0.2018779342723" "0.41390483380213" "1.02380952380952" "0.154303349962092"
"1,2-phenylacetyl-CoA epoxidase, subunit B (EC 1.14.13.149)" "Gene3301" NA "42" "0.2018779342723" "0.41390483380213" "1.02380952380952" "0.154303349962092"
"1,2-phenylacetyl-CoA epoxidase, subunit C (EC 1.14.13.149)" "Gene3302" NA "42" "0.206572769953052" "0.428417437291926" "1.04761904761905" "0.215540268704521"
"1,2-phenylacetyl-CoA epoxidase, subunit D (EC 1.14.13.149)" "Gene3303" NA "42" "0.2018779342723" "0.41390483380213" "1.02380952380952" "0.154303349962092"
"1,2-phenylacetyl-CoA epoxidase, subunit E (EC 1.14.13.149)" "Gene3299" NA "42" "0.206572769953052" "0.428417437291926" "1.04761904761905" "0.215540268704521"
"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)" "Gene1176" NA "208" "1.01408450704225" "0.247227517997213" "1.03846153846154" "0.192771643988747"
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase (EC 3.1.2.28) in phylloquinone biosynthesis" "Gene7021" NA "2" "0.00938967136150235" "0.0966715079992743" "1" "0"
"1,4-lactonase (EC 3.1.1.25)" "Gene6483" NA "5" "0.0234741784037559" "0.15176056594936" "1" "0"
"1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) (EC 1.1.1.292)" "Gene6126" NA "4" "0.0187793427230047" "0.136064680601224" "1" "0"
"1,6-anhydro-N-acetylmuramyl-L-alanine amidase" "Gene6127" NA "4" "0.0187793427230047" "0.136064680601224" "1" "0"
"16 kDa heat shock protein A" "Gene0823" NA "213" "2.1924882629108" "1.05309064729405" "2.1924882629108" "1.05309064729405"
"16S ribosomal RNA m(5)C 967 methyltransferase" "Gene1845" NA "169" "0.793427230046948" "0.405799921201914" "1" "0"
"16S rRNA (cytidine(1402)-2'-O)-methyltransferase (EC 2.1.1.198)" "Gene0003" "Gene3" "213" "1" "0" "1" "0"
"16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)" "Gene0004" "Gene4" "213" "1" "0" "1" "0"
"16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176)" "Gene0399" NA "213" "1.018779342723" "0.136064680601224" "1.018779342723" "0.136064680601224"
"16S rRNA (guanine(1207)-N(2))-methyltransferase (EC 2.1.1.172)" "Gene1047" "Gene1047" "211" "0.990610328638498" "0.0966715079992743" "1" "0"
