"Annotation" "Fasta-name" "Occurence" "AverageSize(bp)"
"(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin) (EC 1.17.7.3)" "Gene00007" "231" "1313.34"
"[Protein-PII] uridylyltransferase (EC 2.7.7.59) / [Protein-PII]-UMP uridylyl-removing enzyme" "Gene00020" "229" "2813.22"
"1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)" "Gene00024" "227" "1176.18"
"16S rRNA (cytidine(1402)-2'-O)-methyltransferase (EC 2.1.1.198)" "Gene00043" "231" "961.8"
"16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)" "Gene00044" "231" "1059.24"
"16S rRNA (guanine(1207)-N(2))-methyltransferase (EC 2.1.1.172)" "Gene00046" "229" "924.12"
"16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)" "Gene00047" "231" "636.66"
"16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)" "Gene00048" "227" "558.25"
"16S rRNA (uracil(1498)-N(3))-methyltransferase (EC 2.1.1.193)" "Gene00049" "229" "751.14"
"16S rRNA processing protein RimM" "Gene00050" "230" "678.18"
"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)" "Gene00056" "210" "480.978260869565"
"2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase BchC" "Gene00073" "203" "939.6"
"2-hydroxymuconic semialdehyde hydrolase (EC 3.7.1.9)" "Gene00086" "229" "782.58"
"2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)" "Gene00090" "230" "1384.56"
"2-vinyl bacteriochlorophyllide hydratase BchF (EC 4.2.1.-)" "Gene00124" "204" "504.2"
"2'-5' RNA ligase" "Gene00144" "229" "553.38"
"2',3'-cyclic-nucleotide 2'-phosphodiesterase, Bsub YmdB" "Gene00147" "231" "821.4"
"23S rRNA (adenine(2503)-C(2))-methyltransferase @ tRNA (adenine(37)-C(2))-methyltransferase (EC 2.1.1.192)" "Gene00150" "230" "1289.88"
"23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)" "Gene00152" "229" "491.64"
"23S rRNA (uracil(1939)-C(5))-methyltransferase (EC 2.1.1.190)" "Gene00153" "228" "1261.86"
"23S rRNA (uridine(2552)-2'-O)-methyltransferase (EC 2.1.1.166)" "Gene00154" "231" "728.7"
"3-demethylubiquinol 3-O-methyltransferase (EC 2.1.1.64) @ 2-polyprenyl-6-hydroxyphenyl methylase (EC 2.1.1.222)" "Gene00163" "230" "746.16"
"3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13)" "Gene00166" "228" "1307.46"
