"Name1" "Name2" "Sequences" "Size1(bp)" "Size2(bp)" "Type"
"562" "Gene09510" "226" "86" "86" "rna"
"564" "Gene09559" "230" "90" "90" "rna"
"1" "Gene00007" "231" "1425" "1248" "peg"
"2" "Gene00020" "229" "3300" "2745" "peg"
"3" "Gene00024" "227" "1251" "1155" "peg"
"4" "Gene00043" "231" "1149" "909" "peg"
"5" "Gene00044" "231" "1308" "987" "peg"
"6" "Gene00046" "229" "1101" "903" "peg"
"7" "Gene00047" "231" "741" "618" "peg"
"8" "Gene00048" "227" "738" "552" "peg"
"9" "Gene00049" "229" "918" "744" "peg"
"10" "Gene00050" "230" "885" "555" "peg"
"11" "Gene00056" "210" "594" "468" "peg"
"12" "Gene00073" "203" "996" "930" "peg"
"13" "Gene00086" "229" "963" "720" "peg"
"14" "Gene00090" "230" "1479" "1380" "peg"
"15" "Gene00124" "204" "651" "477" "peg"
"16" "Gene00144" "229" "636" "534" "peg"
"17" "Gene00147" "231" "825" "816" "peg"
"18" "Gene00150" "230" "1578" "1248" "peg"
"19" "Gene00152" "229" "561" "480" "peg"
"20" "Gene00153" "228" "1509" "1215" "peg"
"21" "Gene00154" "231" "828" "690" "peg"
"22" "Gene00163" "230" "945" "732" "peg"
"23" "Gene00166" "228" "1404" "1281" "peg"
"24" "Gene00179" "208" "591" "459" "peg"
"25" "Gene00194" "228" "933" "837" "peg"
"26" "Gene00209" "230" "1287" "1221" "peg"
"27" "Gene00221" "230" "1545" "1290" "peg"
"28" "Gene00233" "228" "2784" "2256" "peg"
"29" "Gene00236" "230" "1413" "969" "peg"
"30" "Gene00240" "207" "1368" "975" "peg"
"31" "Gene00254" "228" "1062" "867" "peg"
"32" "Gene00255" "226" "978" "609" "peg"
"33" "Gene00260" "229" "1044" "930" "peg"
"34" "Gene00286" "204" "1272" "525" "peg"
"35" "Gene00303" "229" "3831" "3744" "peg"
"36" "Gene00311" "207" "513" "510" "peg"
"37" "Gene00316" "225" "807" "759" "peg"
"38" "Gene00337" "228" "1626" "1092" "peg"
"39" "Gene00357" "224" "1017" "618" "peg"
"40" "Gene00358" "231" "672" "663" "peg"
"41" "Gene00382" "231" "1098" "771" "peg"
"42" "Gene00393" "222" "2700" "2556" "peg"
"43" "Gene00409" "226" "1371" "1116" "peg"
"44" "Gene00497" "204" "1290" "1029" "peg"
"45" "Gene00517" "229" "645" "540" "peg"
"46" "Gene00532" "227" "999" "951" "peg"
"47" "Gene00534" "223" "993" "873" "peg"
"48" "Gene00559" "201" "1041" "798" "peg"
"49" "Gene00592" "229" "1143" "849" "peg"
"50" "Gene00629" "227" "1473" "1398" "peg"
"51" "Gene00640" "229" "1389" "1305" "peg"
"52" "Gene00643" "206" "1182" "780" "peg"
"53" "Gene00662" "231" "1047" "981" "peg"
"54" "Gene00663" "228" "1956" "1881" "peg"
"55" "Gene00680" "225" "2835" "2637" "peg"
"56" "Gene00718" "206" "1116" "762" "peg"
"57" "Gene00750" "214" "3654" "3345" "peg"
"58" "Gene00773" "210" "1692" "1416" "peg"
"59" "Gene00805" "230" "1566" "1470" "peg"
"60" "Gene00860" "228" "1278" "1125" "peg"
"61" "Gene00865" "230" "1134" "1011" "peg"
"62" "Gene00869" "227" "1674" "1500" "peg"
"63" "Gene00893" "231" "399" "390" "peg"
"64" "Gene00894" "230" "2115" "1569" "peg"
"65" "Gene00920" "230" "846" "744" "peg"
"66" "Gene00962" "227" "1038" "1029" "peg"
"67" "Gene00966" "228" "1398" "1233" "peg"
"68" "Gene00971" "230" "285" "285" "peg"
"69" "Gene00978" "230" "1149" "963" "peg"
"70" "Gene00979" "230" "1533" "1527" "peg"
"71" "Gene00981" "231" "1479" "1443" "peg"
"72" "Gene00982" "225" "723" "567" "peg"
"73" "Gene00989" "228" "912" "858" "peg"
"74" "Gene00996" "227" "516" "318" "peg"
"75" "Gene00997" "225" "2622" "2406" "peg"
"76" "Gene01009" "227" "2607" "2094" "peg"
"77" "Gene01030" "230" "1146" "852" "peg"
"78" "Gene01031" "231" "675" "525" "peg"
"79" "Gene01033" "229" "2271" "1653" "peg"
"80" "Gene01043" "226" "1260" "774" "peg"
"81" "Gene01077" "230" "1233" "573" "peg"
"82" "Gene01080" "229" "510" "489" "peg"
"83" "Gene01099" "207" "1119" "870" "peg"
"84" "Gene01107" "230" "1965" "1758" "peg"
"85" "Gene01134" "226" "1173" "990" "peg"
"86" "Gene01137" "205" "1491" "927" "peg"
"87" "Gene01158" "223" "1377" "1209" "peg"
"88" "Gene01169" "226" "1719" "1620" "peg"
