"Strain" "Biome" "Annotation" "Short.name" "Group_Leducq2" "Contigs" "Genes" "Annotations" "Size" "N50" "GC"
"LMG23639T" "Anthropo/Food" "6666666.879406.txt" "st137" "A" 112 4582 2311 4453348 64724 0.712935899863426
"YIM48816_(KCTC22810T)" "Soil" "6666666.673184.txt" "st209" "A" 111 7569 2659 6638244 134159 0.689879316732623
"YIM132548_(NBRC114056T)" "Lichen" "6666666.673182.txt" "st208" "A" 80 6343 2585 5867408 193576 0.704473689795694
"NBRC107715_(DSM24028T)" "Phyllosphere" "6666666.673143.txt" "st159" "A" 343 7234 2552 6258602 49856 0.704534024466814
"17SD2-17_(KCTC52908T)" "Anthropo/Soil" "6666666.673108.txt" "st7" "A" 1 8021 2545 6788375 6788375 0.690996552271916
"17J42-1_(KCTC62267T)" "Soil" "6666666.673131.txt" "st5" "A" 255 6478 2476 5589186 42399 0.704887793251439
"DSM23632" "Phyllosphere" "6666666.879416.txt" "st147" "A" 424 5594 2556 5133186 20032 0.702094407747283
"WL120" "Phyllosphere" "6666666.673151.txt" "st195" "A" 395 6241 2472 5265873 26698 0.699826260117771
"WL12" "Phyllosphere" "6666666.673153.txt" "st194" "A" 270 6447 2514 5540300 53038 0.699056684816482
"WL8" "Phyllosphere" "6666666.673174.txt" "st202" "A" 222 5885 2451 5316010 56100 0.701620311495419
"DSM23679T" "Phyllosphere" "6666666.879398.txt" "st130" "A" 150 5712 2567 5374490 98645 0.700997812592849
"E-025" "Phyllosphere" "6666666.688747.txt" "st62" "A" 204 6626 2607 5583370 99850 0.701794598005193
"J-059" "Phyllosphere" "6666666.688744.txt" "st80" "A" 188 6815 2626 5793233 97209 0.702031251674684
"J-092" "Phyllosphere" "6666666.688745.txt" "st90" "A" 225 6791 2618 5650825 74698 0.701339977860406
"E-041" "Phyllosphere" "6666666.688742.txt" "st63" "A" 303 7522 2625 5976183 83895 0.697600457806777
"WL6" "Phyllosphere" "6666666.673178.txt" "st199" "A" 708 6919 2505 5541357 15034 0.70108145406502
"E-016" "Phyllosphere" "6666666.688743.txt" "st61" "A" 206 7011 2631 5832649 93701 0.700953473996762
"WL119" "Phyllosphere" "6666666.673157.txt" "st193" "A" 262 6732 2517 5702844 45384 0.7003375901825
