"Code-link" "Short-name" "Annotation"
"1" "Gene1" "(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin) (EC 1.17.7.3)"
"2" "Gene2" "[Protein-PII] uridylyltransferase (EC 2.7.7.59) / [Protein-PII]-UMP uridylyl-removing enzyme"
"3" "Gene398" "1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)"
"4" "Gene3" "16S rRNA (cytidine(1402)-2'-O)-methyltransferase (EC 2.1.1.198)"
"5" "Gene4" "16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)"
"6" "Gene1047" "16S rRNA (guanine(1207)-N(2))-methyltransferase (EC 2.1.1.172)"
"7" "Gene5" "16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)"
"8" "Gene927" "16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)"
"9" "Gene6" "16S rRNA (uracil(1498)-N(3))-methyltransferase (EC 2.1.1.193)"
"10" "Gene7" "16S rRNA processing protein RimM"
"11" "Gene328" "2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)"
"12" "Gene928" "2'-5' RNA ligase"
"13" "Gene8" "2',3'-cyclic-nucleotide 2'-phosphodiesterase, Bsub YmdB"
"14" "Gene9" "23S rRNA (adenine(2503)-C(2))-methyltransferase @ tRNA (adenine(37)-C(2))-methyltransferase (EC 2.1.1.192)"
"15" "Gene215" "23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)"
"16" "Gene330" "23S rRNA (uracil(1939)-C(5))-methyltransferase (EC 2.1.1.190)"
"17" "Gene11" "23S rRNA (uridine(2552)-2'-O)-methyltransferase (EC 2.1.1.166)"
"18" "Gene929" "3-demethylubiquinol 3-O-methyltransferase (EC 2.1.1.64) @ 2-polyprenyl-6-hydroxyphenyl methylase (EC 2.1.1.222)"
"19" "Gene216" "3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13)"
"20" "Gene12" "3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabA form (EC 4.2.1.59) @ Trans-2-decenoyl-[acyl-carrier-protein] isomerase (EC 5.3.3.14)"
"21" "Gene217" "3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2)"
"22" "Gene13" "3-oxoacyl-[acyl-carrier-protein] synthase II (EC 2.3.1.41)"
"23" "Gene218" "3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)"
"24" "Gene14" "3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)"
"25" "Gene403" "3'-to-5' exoribonuclease RNase R"
"26" "Gene15" "33 kDa chaperonin HslO"
"27" "Gene219" "4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)"
"28" "Gene220" "4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.39)"
"29" "Gene16" "5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)"
"30" "Gene17" "5'-methylthioadenosine phosphorylase (EC 2.4.2.28)"
"31" "Gene222" "A/G-specific adenine glycosylase (EC 3.2.2.-)"
"32" "Gene19" "ABC transporter involved in cytochrome c biogenesis, CcmB subunit"
"33" "Gene20" "ABC transporter, ATP-binding protein (cluster 9, phospholipid)"
"34" "Gene223" "Acetolactate synthase small subunit (EC 2.2.1.6)"
"35" "Gene405" "Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)"
"36" "Gene930" "Acyl-CoA thioesterase II (EC 3.1.2.-)"
"37" "Gene21" "Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)"
"38" "Gene22" "Aerobic cobaltochelatase CobS subunit (EC 6.6.1.2)"
"39" "Gene226" "Aerobic cobaltochelatase CobT subunit (EC 6.6.1.2)"
"40" "Gene23" "Amidophosphoribosyltransferase (EC 2.4.2.14)"
"41" "Gene24" "Anthranilate phosphoribosyltransferase (EC 2.4.2.18)"
"42" "Gene908" "Anthranilate synthase, aminase component (EC 4.1.3.27)"
"43" "Gene25" "ApaG protein"
"44" "Gene227" "Apolipoprotein N-acyltransferase / Copper homeostasis protein CutE"
"45" "Gene26" "Arginyl-tRNA--protein transferase (EC 2.3.2.8)"
"46" "Gene489" "Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)"
