"FuMOD" "Fu"
"Gene00001" "(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)"
"Gene00002" "(2R)-sulfolactate sulfo-lyase subunit alpha (EC 4.4.1.24)"
"Gene00003" "(2R)-sulfolactate sulfo-lyase subunit beta (EC 4.4.1.24)"
"Gene00004" "(3S)-malyl-CoA thioesterase (EC 3.1.2.n2)"
"Gene00005" "(adenine-N6-)-methyltransferase homolog"
"Gene00006" "(AF179595) Vco33"
"Gene00007" "(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin) (EC 1.17.7.3)"
"Gene00008" "(methyl)malonate semialdehyde dehydrogenase or ALDH family proteins"
"Gene00009" "(R)-2-hydroxyacid dehydrogenase, similar to L-sulfolactate dehydrogenase (EC 1.1.1.272)"
"Gene00010" "(R)-citramalate synthase (EC 2.3.1.182)"
"Gene00011" "(S)-2-haloacid dehalogenase I (EC 3.8.1.2) (2-haloalkanoic acid dehalogenase I) (L-2-haloacid dehalogenase I) (Halocarboxylic acid halidohydrolase I) (DEHCI)"
"Gene00012" "(Y14336) putative extracellular protein containing predicted 35aa signal peptide"
"Gene00013" "[4Fe-4S] cluster assembly scaffold protein Mrp (=ApbC)"
"Gene00014" "[Genomic island nu Sa beta2]"
"Gene00015" "[NiFe] hydrogenase HoxFUYH(E) maturation factor HoxW"
"Gene00016" "[NiFe] hydrogenase metallocenter assembly protein HypC"
"Gene00017" "[NiFe] hydrogenase metallocenter assembly protein HypD"
"Gene00018" "[NiFe] hydrogenase metallocenter assembly protein HypE"
"Gene00019" "[NiFe] hydrogenase nickel incorporation-associated protein HypB"
"Gene00020" "[Protein-PII] uridylyltransferase (EC 2.7.7.59) / [Protein-PII]-UMP uridylyl-removing enzyme"
"Gene00021" "1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)"
"Gene00022" "1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7)"
