"Contig" "flag" "cov" "len" "GC"
"1" "k141_9933" "0" "287.0484" "699" "0.625178826895565"
"2" "k141_36" "0" "45.7168" "367" "0.659400544959128"
"3" "k141_13939" "1" "25.6736" "573" "0.654450261780105"
"4" "k141_9989" "0" "201.2055" "6466" "0.622641509433962"
"5" "k141_47" "0" "233.6794" "21218" "0.697709491940805"
"6" "k141_17998" "1" "709.2177" "3421" "0.628763519438761"
"7" "k141_4018" "3" "748" "33708" "0.597128278153554"
"8" "k141_9993" "0" "202.1079" "13286" "0.598223694114105"
"9" "k141_2081" "0" "389" "14061" "0.624777754071545"
"10" "k141_6051" "0" "234" "16915" "0.68779190067987"
"11" "k141_16051" "0" "133.2917" "1992" "0.633534136546185"
"12" "k141_71" "0" "202.5016" "3999" "0.697424356089022"
"13" "k141_12006" "1" "194.5368" "22618" "0.649615350605712"
"14" "k141_100" "0" "101.3517" "2387" "0.649769585253456"
"15" "k141_2190" "0" "222" "7360" "0.644972826086956"
"16" "k141_7945" "0" "196.1591" "97336" "0.68929275910249"
"17" "k141_7948" "0" "153.3729" "1852" "0.659287257019438"
"18" "k141_7976" "3" "40" "303" "0.735973597359736"
"19" "k141_6266" "0" "518.0743" "3062" "0.647615937295885"
"20" "k141_9998" "0" "190.9224" "54032" "0.699900059224163"
"21" "k141_4123" "0" "186.9186" "50407" "0.700894717003591"
"22" "k141_8019" "1" "168.2634" "2282" "0.585451358457493"
"23" "k141_10002" "0" "479.7757" "1666" "0.620648259303721"
"24" "k141_147" "1" "197.2182" "34589" "0.651883546792333"
"25" "k141_8049" "0" "220" "863" "0.677867902665122"
"26" "k141_13958" "0" "235.8696" "81245" "0.669456581943504"
"27" "k141_13968" "1" "386" "320" "0.60625"
"28" "k141_6328" "0" "412.5098" "3719" "0.649636999193332"
"29" "k141_4134" "0" "276.1723" "15146" "0.655816717285092"
"30" "k141_4135" "1" "93.0678" "923" "0.729144095341278"
"31" "k141_6329" "0" "622.6425" "1724" "0.707656612529002"
"32" "k141_10092" "0" "159.1481" "465" "0.658064516129032"
"33" "k141_239" "1" "134" "877" "0.663625997719498"
"34" "k141_14058" "1" "102.9338" "700" "0.68"
"35" "k141_10131" "0" "485" "893" "0.674132138857783"
"36" "k141_8157" "1" "212.4245" "8245" "0.555245603395998"
"37" "k141_10133" "1" "405.9982" "17423" "0.677552660276646"
"38" "k141_10143" "0" "128.9554" "365" "0.66027397260274"
"39" "k141_16173" "0" "194.5633" "76966" "0.694462489930619"
"40" "k141_14085" "0" "339.6788" "17286" "0.633807705657758"
"41" "k141_4183" "1" "200.2256" "47228" "0.644532904209367"
"42" "k141_10177" "0" "182.8234" "4512" "0.697251773049645"
